--- ABOUT ---
"Rishabh Instruments limited, with an experience of nearly three decades is an organization that has built its core competence in manufacturing, design and development of Test and Measuring Instruments and Industrial Control Products on strong fundamentals; in terms of people, infrastructure and financials. The company provides a hands-on, value driven, professional environment considering people its most important asset. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,235",579,593,27.4

Book Value,Dividend Yield,ROCE,ROE
193,0.00,14.5,12.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,174,172,180,159,178,169,182,181,187,190,196,184,205
Expenses +,150,156,148,155,160,162,172,167,171,162,163,152,172
Operating Profit,25,17,32,5,18,8,10,14,16,28,33,31,33
OPM %,14%,10%,18%,3%,10%,4%,6%,8%,9%,15%,17%,17%,16%
Other Income +,3,4,2,4,2,4,3,5,3,4,5,6,6
Interest,1,2,1,1,0,1,2,1,2,1,1,1,2
Depreciation,7,7,7,5,9,6,6,7,8,8,9,10,10
Profit before tax,19,11,25,3,11,5,6,11,9,24,29,26,28
Tax %,22%,29%,12%,-128%,79%,30%,29%,28%,32%,18%,23%,21%,27%
Net Profit +,15,8,22,7,2,3,4,8,6,20,22,21,20
EPS in Rs,5.09,2.72,5.72,2.00,0.63,0.95,1.08,2.19,1.64,5.13,5.77,5.19,5.11
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,401,390,470,570,690,720,775
Expenses +,341,332,397,493,618,671,649
Operating Profit,60,58,73,77,72,49,126
OPM %,15%,15%,16%,13%,10%,7%,16%
Other Income +,9,13,10,10,12,14,21
Interest,4,4,4,6,5,6,6
Depreciation,24,21,20,20,28,27,36
Profit before tax,40,46,59,61,51,30,106
Tax %,22%,22%,16%,18%,22%,30%,22%
Net Profit +,32,36,50,50,40,21,82
EPS in Rs,20.78,23.75,32.18,16.01,10.38,5.89,21.15
Dividend Payout %,0%,0%,0%,0%,0%,0%,9%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,29,38,38,39
Reserves,269,285,326,372,521,573,706
Borrowings +,104,106,103,106,58,98,81
Other Liabilities +,101,105,118,140,162,177,177
Total Liabilities,488,510,562,647,779,886,"1,003"
Fixed Assets +,181,224,220,219,265,311,382
CWIP,32,2,5,8,17,32,41
Investments,0,0,0,0,0,0,0
Other Assets +,276,284,337,420,496,544,580
Total Assets,488,510,562,647,779,886,"1,003"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,72,53,13,28,76,65,108
Cash from Investing Activity +,-63,-18,-14,-3,-115,-63,-117
Cash from Financing Activity +,21,-23,-7,-4,23,37,-28
Net Cash Flow,29,11,-8,20,-16,39,-37
Free Cash Flow,25,18,-2,-1,7,-11,7
CFO/OP,135%,104%,33%,53%,122%,159%,105%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,56,64,62,77,68,68,62
Inventory Days,163,185,237,218,219,195,214
Days Payable,115,145,125,117,99,98,92
Cash Conversion Cycle,104,104,174,178,189,165,184
Working Capital Days,8,16,44,66,79,76,73
ROCE %,,12%,15%,14%,10%,5%,14%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.68%,70.68%,70.25%,70.16%,70.16%,70.16%,70.15%,69.81%,69.81%,69.67%,69.55%
FIIs +,1.66%,2.10%,0.31%,0.11%,0.12%,0.11%,0.17%,0.05%,0.35%,0.24%,0.10%
DIIs +,16.55%,14.71%,14.52%,13.34%,13.20%,13.45%,13.09%,12.42%,12.01%,12.57%,11.72%
Government +,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,11.10%,12.51%,14.87%,16.41%,16.53%,16.29%,16.59%,17.70%,17.83%,17.52%,18.63%
No. of Shareholders,"52,414","35,855","35,478","39,606","42,223","42,034","41,056","40,235","35,765","33,805","32,231"

--- CAGR BOXES ---




