--- ABOUT ---
Sagar Cements is engaged in the business of manufacture and sale of cement.

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,249",172,300,

Book Value,Dividend Yield,ROCE,ROE
130,0.00,1.97,-1.05

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,622,540,587,669,709,561,475,564,658,671,602,591,787
Expenses +,583,509,527,582,641,514,455,526,621,549,551,553,705
Operating Profit,39,30,60,87,68,47,20,38,37,121,51,38,82
OPM %,6%,6%,10%,13%,10%,8%,4%,7%,6%,18%,9%,6%,10%
Other Income +,181,4,18,4,44,8,5,5,-24,4,4,2,11
Interest,52,44,47,49,45,46,46,48,47,47,46,50,53
Depreciation,42,50,51,57,56,56,58,59,58,55,56,63,66
Profit before tax,126,-59,-20,-15,10,-48,-79,-64,-93,24,-47,-74,-27
Tax %,30%,-29%,-48%,-28%,-13%,-32%,-28%,-15%,-21%,69%,-5%,-13%,-476%
Net Profit +,88,-42,-11,-10,12,-32,-57,-54,-73,7,-44,-64,100
EPS in Rs,6.92,-3.05,-0.64,-0.62,1.01,-2.17,-4.25,-4.21,-5.41,0.09,-3.24,-4.41,6.70
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2010,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,425,753,814,"1,038","1,218","1,175","1,371","1,597","2,230","2,505","2,258","2,650"
Expenses +,340,630,703,887,"1,068",990,971,"1,321","2,076","2,258","2,116","2,358"
Operating Profit,85,123,110,151,150,186,400,276,153,247,141,292
OPM %,20%,16%,14%,15%,12%,16%,29%,17%,7%,10%,6%,11%
Other Income +,6,4,4,7,2,4,8,13,223,68,-6,22
Interest,30,42,62,59,63,61,47,92,202,185,188,197
Depreciation,29,35,48,54,66,79,81,93,156,214,231,240
Profit before tax,32,51,4,46,23,50,281,104,18,-84,-284,-123
Tax %,37%,13%,193%,42%,41%,47%,34%,43%,48%,-38%,-24%,-99%
Net Profit +,20,44,-4,26,14,27,186,59,10,-52,-217,-1
EPS in Rs,2.58,5.09,-0.38,2.57,1.33,2.40,15.88,5.89,2.31,-3.32,-16.05,-0.85
Dividend Payout %,24%,20%,-78%,31%,38%,21%,8%,12%,30%,-21%,0%,0%

--- BALANCE SHEET ---
,Mar 2010,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,17,20,20,20,22,24,24,26,26,26,26
Reserves,198,532,743,759,823,944,"1,167","1,232","1,968","1,915","1,697","1,667"
Borrowings +,231,434,487,478,509,491,809,"1,508","1,478","1,444","1,446","1,708"
Other Liabilities +,122,264,259,281,375,460,547,585,621,863,952,"1,069"
Total Liabilities,565,"1,247","1,509","1,539","1,728","1,918","2,546","3,349","4,093","4,248","4,121","4,471"
Fixed Assets +,378,957,"1,001","1,053","1,244","1,384","1,301","2,048","3,168","3,250","3,109","3,229"
CWIP,10,15,55,125,110,108,517,100,99,15,123,116
Investments,38,0,0,0,0,0,0,315,0,0,0,0
Other Assets +,139,274,452,361,374,426,727,886,826,983,889,"1,126"
Total Assets,565,"1,247","1,509","1,539","1,728","1,918","2,546","3,349","4,093","4,248","4,121","4,471"

--- CASH FLOW ---
,Mar 2010,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,126,129,101,150,133,202,377,87,175,400,234,216
Cash from Investing Activity +,-40,-107,-151,-194,-187,-227,-476,-784,223,-188,-113,-412
Cash from Financing Activity +,-95,-235,208,-77,31,10,322,615,-367,-221,-217,130
Net Cash Flow,-8,-214,159,-121,-23,-15,222,-82,32,-8,-97,-67
Free Cash Flow,109,69,-43,-46,-62,-25,-83,-269,-59,200,104,-201
CFO/OP,149%,124%,96%,109%,91%,114%,103%,42%,124%,166%,169%,74%

--- RATIOS ---
,Mar 2010,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,36,39,36,33,35,42,27,28,22,30,33,31
Inventory Days,209,241,386,239,222,186,189,338,241,273,232,227
Days Payable,150,353,516,344,312,358,349,358,267,460,278,251
Cash Conversion Cycle,95,-73,-95,-73,-55,-130,-133,7,-4,-157,-13,7
Working Capital Days,40,-57,-46,-46,-59,-61,-47,-45,-36,-59,-108,-64
ROCE %,14%,,6%,8%,7%,8%,18%,8%,6%,1%,-2%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,45.20%,48.31%,48.31%,48.31%,48.31%,48.31%,48.31%,48.33%,48.33%,48.33%,48.33%,48.33%
FIIs +,2.98%,2.56%,2.84%,2.70%,2.64%,2.64%,2.63%,2.58%,2.63%,2.84%,1.76%,1.67%
DIIs +,19.59%,18.75%,17.04%,17.26%,17.07%,17.54%,17.87%,18.00%,17.87%,17.39%,18.37%,18.48%
Public +,32.23%,30.38%,31.80%,31.72%,31.97%,31.50%,31.18%,31.09%,31.16%,31.42%,31.53%,31.52%
No. of Shareholders,"31,696","33,275","32,421","35,638","38,148","36,749","36,574","35,502","32,950","31,977","32,502","34,401"

--- CAGR BOXES ---




