--- ABOUT ---
"Salzer Electronics Limited is engaged in offering Total and Customised Electrical Solutions in Switchgears, Wires & Cables and Energy Management business. It is also involved in manufacturing CAM Operated Rotary switches & Wire Ducts in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,154",653,966,21.8

Book Value,Dividend Yield,ROCE,ROE
335,0.38,11.5,9.32

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,303,289,281,270,327,357,344,341,376,441,419,424,474
Expenses +,278,263,254,239,293,323,309,305,347,399,382,387,443
Operating Profit,25,26,27,31,33,33,35,36,29,42,37,37,31
OPM %,8%,9%,10%,11%,10%,9%,10%,11%,8%,9%,9%,9%,7%
Other Income +,0,1,0,1,0,1,16,2,2,1,0,0,0
Interest,8,8,8,9,9,10,10,11,11,12,11,12,12
Depreciation,4,5,5,5,5,6,6,6,6,6,7,7,7
Profit before tax,13,14,14,18,19,19,35,21,15,24,19,18,12
Tax %,24%,28%,26%,26%,29%,24%,22%,27%,27%,28%,27%,27%,13%
Net Profit +,10,10,10,13,13,15,27,15,11,17,13,13,10
EPS in Rs,5.94,6.07,5.90,7.59,7.42,8.12,15.17,8.48,5.75,9.77,7.35,7.01,5.81
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,41,584,626,803,"1,037","1,166","1,418","1,758"
Expenses +,35,518,563,737,941,"1,049","1,282","1,611"
Operating Profit,6,67,63,66,96,117,136,147
OPM %,14%,11%,10%,8%,9%,10%,10%,8%
Other Income +,1,1,2,2,2,2,3,1
Interest,2,21,21,20,26,34,41,48
Depreciation,2,15,16,16,17,20,23,27
Profit before tax,3,32,28,33,55,65,75,73
Tax %,19%,14%,24%,26%,28%,27%,30%,25%
Net Profit +,2,27,21,24,40,47,52,54
EPS in Rs,,16.96,12.84,14.13,23.92,26.39,28.75,29.94
Dividend Payout %,32%,0%,12%,13%,9%,9%,9%,8%

--- BALANCE SHEET ---
,Mar 2006,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,16,16,16,16,17,18,18
Reserves,22,294,316,338,392,456,526,575
Borrowings +,18,179,204,252,281,312,422,535
Other Liabilities +,6,128,148,146,206,208,214,244
Total Liabilities,51,617,685,752,895,993,"1,180","1,372"
Fixed Assets +,18,217,220,224,245,269,309,340
CWIP,0,3,1,1,1,2,3,7
Investments,3,3,5,4,5,7,20,23
Other Assets +,30,394,459,523,644,715,848,"1,002"
Total Assets,51,617,685,752,895,993,"1,180","1,372"

--- CASH FLOW ---
,Mar 2006,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-1,32,14,-12,23,21,-11,46
Cash from Investing Activity +,-9,-49,-16,-16,-35,-42,-79,-66
Cash from Financing Activity +,11,12,4,26,18,17,91,21
Net Cash Flow,0,-5,2,-2,6,-4,0,1
Free Cash Flow,-5,-3,-4,-31,-15,-23,-77,-17
CFO/OP,-11%,57%,30%,-4%,37%,29%,6%,45%

--- RATIOS ---
,Mar 2006,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,76,95,110,99,101,107,104,92
Inventory Days,137,145,144,140,132,133,139,127
Days Payable,42,49,50,47,54,47,57,48
Cash Conversion Cycle,171,191,204,192,179,194,186,171
Working Capital Days,150,56,59,55,56,70,65,59
ROCE %,,,10%,9%,12%,13%,13%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.94%,35.13%,37.21%,37.32%,37.53%,37.53%,37.54%,37.54%,37.54%,37.47%,37.47%,37.47%
FIIs +,5.78%,6.06%,3.70%,3.20%,2.81%,2.65%,3.97%,2.58%,2.35%,2.39%,2.56%,4.45%
DIIs +,0.18%,0.14%,0.14%,0.12%,0.11%,0.11%,0.39%,0.10%,0.01%,0.02%,0.02%,0.01%
Public +,60.11%,58.69%,58.95%,59.37%,59.56%,59.71%,58.10%,59.78%,60.10%,60.13%,59.95%,58.06%
No. of Shareholders,"24,264","25,134","28,291","35,035","42,501","42,578","45,673","49,630","51,081","51,669","51,709","48,817"

--- CAGR BOXES ---




