--- ABOUT ---
"Incorporated in 2011, SBC Exports Ltd does trading and Manufacturing of Garments, Manpower Supply and Services & Tour Operator Services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,076",43.6,45.0,82.1

Book Value,Dividend Yield,ROCE,ROE
1.68,0.00,18.2,37.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,67.59,52.86,35.22,51.96,69.37,65.72,65.98,72.04,96.30,72.46,84.70,104.45,141.60
Expenses +,64.66,47.65,31.49,48.06,65.43,59.66,60.24,70.20,91.74,67.03,74.43,92.65,135.68
Operating Profit,2.93,5.21,3.73,3.90,3.94,6.06,5.74,1.84,4.56,5.43,10.27,11.80,5.92
OPM %,4.33%,9.86%,10.59%,7.51%,5.68%,9.22%,8.70%,2.55%,4.74%,7.49%,12.13%,11.30%,4.18%
Other Income +,1.39,0.95,0.23,0.75,1.73,1.40,2.01,4.09,1.48,0.35,3.91,3.61,5.85
Interest,0.78,1.16,1.40,1.46,1.91,1.73,1.96,1.84,1.69,1.93,2.40,3.72,3.04
Depreciation,0.56,0.41,0.39,0.33,0.44,0.41,0.42,0.43,0.34,0.38,0.41,0.50,0.51
Profit before tax,2.98,4.59,2.17,2.86,3.32,5.32,5.37,3.66,4.01,3.47,11.37,11.19,8.22
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit +,2.97,4.59,2.17,2.87,3.31,5.32,5.37,3.66,4.01,3.47,11.37,11.20,8.22
EPS in Rs,0.06,0.10,0.05,0.06,0.07,0.11,0.11,0.08,0.08,0.07,0.24,0.24,0.17
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,130,206,222,212,299,403
Expenses +,126,198,212,195,280,370
Operating Profit,4,8,11,17,19,33
OPM %,3%,4%,5%,8%,6%,8%
Other Income +,0,0,2,4,9,14
Interest,1,2,2,7,8,11
Depreciation,1,1,1,2,2,2
Profit before tax,3,6,9,13,18,34
Tax %,28%,39%,26%,28%,27%,26%
Net Profit +,2,3,7,9,13,25
EPS in Rs,0.04,0.07,0.15,0.19,0.28,0.53
Dividend Payout %,0%,0%,15%,17%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,21,21,32,48,48
Reserves,12,5,13,12,8,33
Borrowings +,0,9,27,53,136,227
Other Liabilities +,54,61,54,88,80,129
Total Liabilities,76,97,115,185,271,437
Fixed Assets +,4,6,8,23,25,26
CWIP,0,0,0,1,3,15
Investments,0,2,4,6,5,0
Other Assets +,72,89,102,155,237,396
Total Assets,76,97,115,185,271,437

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,4,-11,-5,-69,0
Cash from Investing Activity +,,-4,-6,-20,-5,0
Cash from Financing Activity +,,0,17,25,82,0
Net Cash Flow,,1,1,0,8,0
Free Cash Flow,,2,-15,-22,-76,0
CFO/OP,,87%,-78%,-7%,-344%,0%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85,86,92,148,101,123
Inventory Days,95,50,57,76,125,112
Days Payable,113,75,65,136,74,92
Cash Conversion Cycle,67,62,83,87,152,143
Working Capital Days,54,28,36,48,43,46
ROCE %,,25%,24%,25%,17%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.81%,65.69%,65.91%,64.71%,63.59%,64.30%,64.15%,57.77%,52.83%,50.67%,50.35%,50.35%
FIIs +,0.02%,0.16%,0.03%,0.01%,0.01%,0.15%,0.00%,0.16%,0.37%,1.57%,2.00%,0.77%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.20%,0.09%,0.00%,0.00%
Public +,34.18%,34.16%,34.06%,35.28%,36.39%,35.56%,35.85%,41.87%,46.60%,47.66%,47.64%,48.88%
No. of Shareholders,"50,167","49,760","72,487","1,37,788","1,27,834","1,26,779","1,26,828","1,40,945","1,36,412","1,28,475","1,25,385","1,22,113"

--- CAGR BOXES ---




