--- ABOUT ---
"Incorporated in 1984, Shivalik Bimetal Control Ltd. manufactures thermostatic bimetal/trimetal strips, components, shunt resistors and clad metals. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,300",747,789,44.5

Book Value,Dividend Yield,ROCE,ROE
83.6,0.36,26.8,21.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,124,127,128,126,128,126,127,123,132,137,137,134,163
Expenses +,96,97,99,101,106,102,100,99,104,105,106,102,127
Operating Profit,28,30,29,25,22,24,27,25,28,32,31,32,35
OPM %,23%,24%,23%,20%,17%,19%,21%,20%,22%,23%,23%,24%,22%
Other Income +,2,2,2,2,16,4,3,4,4,3,6,2,4
Interest,2,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,3,3,3,3,3,3,3,3,3,3,3,4,4
Profit before tax,26,28,27,23,33,24,27,24,28,30,32,30,35
Tax %,16%,24%,26%,26%,23%,24%,25%,25%,26%,25%,23%,25%,25%
Net Profit +,22,21,20,17,26,18,20,18,21,23,25,22,26
EPS in Rs,3.73,3.69,3.53,2.94,4.46,3.09,3.46,3.17,3.65,3.95,4.31,3.85,4.52
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,95,109,119,158,193,187,204,324,470,509,508,571
Expenses +,85,95,100,132,158,166,168,251,361,403,405,440
Operating Profit,10,14,19,26,36,21,36,73,109,106,104,131
OPM %,11%,13%,16%,16%,18%,11%,18%,23%,23%,21%,20%,23%
Other Income +,2,0,2,5,7,5,6,9,11,22,14,15
Interest,4,4,3,3,4,3,2,3,7,5,4,5
Depreciation,3,4,5,5,5,6,6,6,11,12,12,14
Profit before tax,5,6,14,23,34,17,34,73,102,112,103,127
Tax %,50%,42%,40%,27%,29%,22%,26%,25%,23%,25%,25%,24%
Net Profit +,3,3,8,17,25,13,25,55,79,84,77,96
EPS in Rs,0.47,0.58,1.43,2.87,4.28,2.34,4.43,9.57,13.73,14.63,13.38,16.64
Dividend Payout %,42%,0%,12%,14%,9%,9%,9%,7%,9%,12%,20%,24%

--- BALANCE SHEET ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,8,8,8,8,8,12,12,12,12
Reserves,42,51,65,75,97,108,132,184,254,330,394,470
Borrowings +,41,47,29,36,45,25,29,58,59,42,42,61
Other Liabilities +,30,23,18,28,27,23,52,58,66,59,60,94
Total Liabilities,116,125,116,147,176,163,221,308,390,443,508,636
Fixed Assets +,37,41,43,45,45,45,46,79,118,120,137,151
CWIP,3,4,4,5,6,18,25,8,7,14,24,34
Investments,0,1,7,8,11,11,13,17,8,11,13,16
Other Assets +,76,78,61,89,115,88,137,205,258,298,334,435
Total Assets,116,125,116,147,176,163,221,308,390,443,508,636

--- CASH FLOW ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,2,16,12,6,4,41,30,-3,66,69,94,55
Cash from Investing Activity +,-7,-2,-3,-7,-7,-14,-15,-24,-41,-41,-58,-68
Cash from Financing Activity +,4,-6,-17,1,3,-27,0,23,-18,-29,-26,-0
Net Cash Flow,-1,8,-8,0,0,-0,15,-5,7,-2,10,-14
Free Cash Flow,-5,14,9,-2,-2,27,15,-28,35,47,64,20
CFO/OP,37%,125%,88%,40%,35%,228%,103%,19%,85%,90%,114%,65%

--- RATIOS ---
,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,106,88,81,78,65,60,77,67,72,82,80,99
Inventory Days,221,150,153,182,264,172,253,260,196,165,166,179
Days Payable,115,46,48,78,56,41,127,95,63,50,49,65
Cash Conversion Cycle,212,192,187,181,273,192,202,232,206,197,197,213
Working Capital Days,181,-1,68,86,105,108,92,104,109,125,121,128
ROCE %,12%,,16%,24%,28%,14%,23%,36%,38%,33%,26%,27%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,60.60%,51.09%,51.09%,51.13%,51.14%,33.18%,33.18%,33.18%,33.18%,33.18%,33.18%,33.36%
FIIs +,0.46%,4.18%,3.61%,3.26%,2.73%,3.96%,3.93%,3.63%,3.14%,3.03%,2.59%,1.73%
DIIs +,0.17%,1.45%,1.82%,1.90%,2.33%,20.02%,21.11%,21.06%,21.00%,20.20%,19.71%,20.00%
Public +,38.77%,43.28%,43.49%,43.70%,43.80%,42.84%,41.80%,42.13%,42.67%,43.61%,44.54%,44.90%
No. of Shareholders,"35,657","53,111","56,266","61,155","65,473","67,848","70,612","69,689","67,484","66,293","64,010","60,956"

--- CAGR BOXES ---




