--- ABOUT ---
"State Bank of India is a Fortune 500 company. It is an Indian Multinational, Public Sector banking and financial services statutory body headquartered in Mumbai. It is the largest and oldest bank in India with over 200 years of history. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,55,461","1,035","1,235 / 787",11.5

Book Value,Dividend Yield,ROCE,ROE
646,1.68,6.13,15.4

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,"98,083","101,460","107,391","112,868","117,469","118,242","121,045","124,654","126,840","125,729","128,040","130,386","131,080"
Interest,"53,451","58,045","62,955","68,092","70,644","71,701","73,619","77,397","78,227","78,266","78,002","78,783","79,953"
Expenses +,"59,965","49,080","59,365","62,635","65,418","53,996","62,709","64,890","74,438","59,496","72,265","76,799","75,050"
Financing Profit,"-15,334","-5,665","-14,930","-17,858","-18,593","-7,455","-15,283","-17,634","-25,825","-12,034","-22,227","-25,196","-23,923"
Financing Margin %,-16%,-6%,-14%,-16%,-16%,-6%,-13%,-14%,-20%,-10%,-17%,-19%,-18%
Other Income +,"38,769","30,873","36,865","33,103","47,445","33,883","42,758","43,200","52,722","41,263","50,884","55,262","49,999"
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Profit before tax,"23,436","25,208","21,936","15,245","28,852","26,428","27,474","25,566","26,897","29,229","28,657","30,067","26,076"
Tax %,22%,26%,25%,26%,25%,26%,26%,25%,26%,26%,25%,27%,23%
Net Profit +,"18,769","19,094","16,648","11,598","22,203","20,094","20,565","19,484","20,379","22,121","21,861","22,176","20,508"
EPS in Rs,20.27,20.77,18.04,12.40,23.96,21.65,22.17,21.12,21.96,23.76,22.90,23.09,21.28
Gross NPA %,,,2.53%,,,,2.13%,,,,,,
Net NPA %,,,0.63%,,,,0.52%,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,"207,974","220,633","230,447","228,970","253,322","269,852","278,115","289,973","350,845","439,189","490,313","514,933"
Interest,"133,179","143,047","149,115","146,603","155,867","161,124","156,010","156,194","189,981","259,736","300,943","315,005"
Expenses +,"96,675","109,985","145,666","169,065","166,104","172,909","192,821","197,349","204,303","239,750","252,043","278,781"
Financing Profit,"-21,879","-32,399","-64,334","-86,697","-68,649","-64,181","-70,715","-63,570","-43,439","-60,297","-62,674","-78,853"
Financing Margin %,-11%,-15%,-28%,-38%,-27%,-24%,-25%,-22%,-12%,-14%,-13%,-15%
Other Income +,"49,315","52,828","68,193","77,557","77,365","98,159","107,222","117,000","122,534","155,386","173,031","197,711"
Depreciation,"1,581","2,252","2,915","3,105","3,496","3,662","3,711","3,691","3,696","3,849","3,991","4,830"
Profit before tax,"25,855","18,177",945,"-12,245","5,220","30,317","32,796","49,739","75,399","91,240","106,365","114,028"
Tax %,32%,30%,141%,-66%,41%,40%,26%,27%,25%,25%,26%,25%
Net Profit +,"17,832","13,019",-97,"-3,749","3,351","21,140","23,888","37,183","57,750","69,543","80,523","86,666"
EPS in Rs,22.76,15.75,0.30,-5.11,2.58,22.15,25.11,39.64,62.35,75.17,86.91,90.24
Dividend Payout %,15%,17%,859%,-0%,-0%,-0%,16%,18%,18%,18%,18%,19%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,747,776,797,892,892,892,892,892,892,892,892,923
Reserves,"160,641","179,816","216,395","229,429","233,603","250,168","274,669","304,696","358,039","414,047","486,144","595,208"
Deposits,"2,052,961","2,253,858","2,599,811","2,722,178","2,940,541","3,274,161","3,715,331","4,087,411","4,468,536","4,966,537","5,439,898","6,043,097"
Borrowing,"244,663","361,399","336,366","369,079","413,748","332,901","433,796","449,160","521,152","639,610","610,857","777,302"
Other Liabilities +,"240,149","276,472","288,391","294,860","299,676","339,364","420,926","518,719","605,796","712,669","775,938","904,646"
Total Liabilities,"2,699,161","3,072,321","3,441,760","3,616,439","3,888,460","4,197,486","4,845,615","5,360,878","5,954,415","6,733,756","7,313,730","8,321,176"
Fixed Assets +,"12,924","15,415","51,189","42,035","39,941","39,608","41,600","41,032","45,880","46,072","47,716","59,772"
CWIP,400,786,695,925,762,470,116,28,66,42,41,78
Investments,"673,507","807,375","1,027,281","1,183,794","1,119,270","1,228,284","1,595,100","1,776,490","1,913,108","2,110,548","2,205,601","2,359,502"
Other Assets +,"2,012,329","2,248,746","2,362,594","2,389,685","2,728,487","2,929,123","3,208,798","3,543,328","3,995,361","4,577,093","5,060,371","5,901,824"
Total Assets,"2,699,161","3,072,321","3,441,760","3,616,439","3,888,460","4,197,486","4,845,615","5,360,878","5,954,415","6,733,756","7,313,730","8,321,176"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"26,297","14,477","77,406","-96,508","29,556","23,929","89,919","57,695","-86,014","21,632","45,484","38,097"
Cash from Investing Activity +,"-3,424","-2,747","-4,572","13,053",220,-555,"-3,670","-2,652",-966,"-3,476","-3,387","9,240"
Cash from Financing Activity +,"-1,553","4,348","-4,196","5,547",448,"5,430","7,143","-3,845","6,386","-9,896","-10,737","-3,427"
Net Cash Flow,"21,320","16,078","68,638","-77,908","30,223","28,803","93,392","51,198","-80,593","8,260","31,361","43,910"
Free Cash Flow,"22,848","10,701","72,982","-89,906","26,550","20,864","86,091","54,644","-86,014","17,457","39,847","29,734"
CFO/OP,30%,22%,93%,-148%,43%,40%,110%,72%,-47%,27%,33%,32%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,11%,7%,0%,-2%,1%,7%,9%,12%,17%,17%,17%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.47%,57.49%,57.49%,57.54%,57.54%,57.51%,57.43%,57.43%,57.42%,55.50%,55.50%,55.52%
