--- ABOUT ---
"Incorporated in June 2016, Shadowfax Technologies Ltd is a logistics solution provider company in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,995",222,230,116

Book Value,Dividend Yield,ROCE,ROE
30.0,0.00,9.38,10.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,701,712,982,"1,160","1,237"
Expenses +,680,700,943,"1,093","1,156"
Operating Profit,21,12,39,66,81
OPM %,3%,2%,4%,6%,7%
Other Income +,6,7,6,6,16
Interest,3,5,4,6,6
Depreciation,17,24,28,32,35
Profit before tax,6,-10,13,35,55
Tax %,-0%,-4%,-0%,-0%,-2%
Net Profit +,6,-10,13,35,56
EPS in Rs,268.61,-0.65,0.86,0.70,0.96
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,415","1,885","2,485","4,202"
Expenses +,"1,523","1,866","2,422","3,991"
Operating Profit,-107,19,63,212
OPM %,-8%,1%,3%,5%
Other Income +,8,12,30,36
Interest,19,14,21,20
Depreciation,24,28,65,117
Profit before tax,-143,-12,6,111
Tax %,-0%,-0%,-6%,-1%
Net Profit +,-143,-12,6,112
EPS in Rs,"-6,185.60",-493.97,0.42,1.92
Dividend Payout %,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.23,0.24,152,582
Reserves,171,172,248,"1,163"
Borrowings +,72,289,393,247
Other Liabilities +,200,324,467,842
Total Liabilities,443,786,"1,259","2,834"
Fixed Assets +,83,118,329,588
CWIP,-0,-0,-0,-0
Investments,60,312,329,354
Other Assets +,300,356,601,"1,892"
Total Assets,443,786,"1,259","2,834"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-73,132,50,350
Cash from Investing Activity +,-40,-311,-119,"-1,091"
Cash from Financing Activity +,90,200,130,863
Net Cash Flow,-23,20,61,122
Free Cash Flow,-120,78,-36,165
CFO/OP,65%,660%,57%,165%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,40,36,48,45
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,40,36,48,45
Working Capital Days,-15,-27,-18,6
ROCE %,,1%,4%,9%

--- SHAREHOLDING PATTERN ---
,Mar 2026
Promoters +,16.59%
FIIs +,7.65%
DIIs +,20.64%
Public +,55.12%
No. of Shareholders,"78,607"

--- CAGR BOXES ---




