--- ABOUT ---
"The Company is engaged in the manufacture and sale of injection moulded precision plastic components, sub-assemblies for various requirements of Original Equipment Manufacturers (OEM). It also offers secondary operations in plastics like vacuum metalizing, hot stamping, and ultrasonic welding. Its manufacturing facilities are at Savli and Halol, Vadodara, Gujarat. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"12,896","2,804","3,234",75.9

Book Value,Dividend Yield,ROCE,ROE
156,0.07,29.3,26.9

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,134,157,158,158,171,179,192,198,218,247,257,250,237
Expenses +,109,131,134,127,136,144,152,152,163,178,177,184,171
Operating Profit,25,27,24,32,35,35,40,46,54,68,79,66,66
OPM %,19%,17%,15%,20%,20%,20%,21%,23%,25%,28%,31%,26%,28%
Other Income +,1,1,3,1,2,1,1,0,0,2,2,0,4
Interest,5,4,4,5,5,4,5,4,4,4,4,4,4
Depreciation,10,8,8,9,10,10,10,11,11,11,12,13,13
Profit before tax,12,16,14,19,22,22,27,32,40,55,66,50,52
Tax %,15%,19%,23%,22%,10%,20%,17%,20%,28%,25%,22%,24%,23%
Net Profit +,10,13,11,15,19,17,22,25,29,41,51,37,40
EPS in Rs,2.16,2.75,2.36,3.17,4.22,3.80,4.78,5.48,6.22,8.95,11.15,8.13,8.74
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,568,607,644,787,991
Expenses +,485,514,526,610,711
Operating Profit,82,93,118,177,280
OPM %,15%,15%,18%,22%,28%
Other Income +,9,4,6,2,8
Interest,18,19,19,18,16
Depreciation,27,33,36,42,49
Profit before tax,47,45,70,119,223
Tax %,24%,22%,18%,22%,24%
Net Profit +,35,35,57,93,170
EPS in Rs,7.68,7.66,12.49,20.26,36.97
Dividend Payout %,-0%,-0%,8%,10%,8%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,9
Reserves,358,392,450,538,707
Borrowings +,175,188,209,188,177
Other Liabilities +,135,103,114,197,253
Total Liabilities,677,693,782,933,"1,147"
Fixed Assets +,333,367,473,501,620
CWIP,29,68,20,18,29
Investments,-0,-0,-0,-0,-0
Other Assets +,316,257,289,414,498
Total Assets,677,693,782,933,"1,147"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,55,90,92,110,226
Cash from Investing Activity +,-129,-101,-94,-71,-185
Cash from Financing Activity +,108,-5,5,-42,-39
Net Cash Flow,34,-16,3,-3,2
Free Cash Flow,-66,-22,-3,38,41
CFO/OP,74%,103%,86%,72%,98%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,65,55,67,80,79
Inventory Days,114,69,82,121,129
Days Payable,87,50,68,87,74
Cash Conversion Cycle,92,74,81,114,135
Working Capital Days,41,4,7,21,24
ROCE %,,11%,14%,20%,29%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,43.81%,43.81%,43.81%,43.81%,43.81%,43.81%,43.72%,43.72%,43.72%,43.72%,43.39%,43.39%
FIIs +,7.12%,7.01%,7.00%,6.64%,2.04%,3.11%,5.42%,7.38%,9.71%,11.30%,12.01%,16.73%
DIIs +,13.84%,13.82%,12.99%,7.70%,9.50%,12.35%,11.65%,13.73%,14.13%,13.71%,13.64%,10.61%
Public +,35.23%,35.36%,36.20%,41.86%,44.67%,40.73%,39.19%,35.17%,32.42%,31.26%,30.97%,29.27%
No. of Shareholders,"5,729","6,236","8,339","9,208","10,632","15,255","19,191","19,442","23,648","30,784","56,192","52,325"

--- CAGR BOXES ---




