--- ABOUT ---
"Shalby Ltd is engaged in healthcare delivery space in India. It operates a chain of multi-specialty hospitals across India. The business of the company is to offer tertiary and quaternary healthcare services to patients in various areas of specialization such as orthopaedics, complex joint replacements, cardiology, neurology, oncology, renal transplantations, etc. [1] The company is the global leader in knee replacement surgery and one of the top Indian hospitals in joint replacement surgery."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,845",171,275,49.4

Book Value,Dividend Yield,ROCE,ROE
93.1,0.00,6.48,3.74

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,199,235,238,216,244,279,268,276,265,296,285,272,287
Expenses +,173,192,185,174,205,234,235,242,244,255,244,242,258
Operating Profit,26,43,53,42,39,45,33,34,21,42,42,30,29
OPM %,13%,18%,22%,20%,16%,16%,12%,12%,8%,14%,15%,11%,10%
Other Income +,9,5,5,5,5,10,7,5,5,7,4,7,8
Interest,3,3,3,4,6,8,9,11,11,9,10,11,9
Depreciation,13,12,12,12,16,16,17,16,16,17,17,18,18
Profit before tax,19,33,43,31,22,30,14,12,-1,23,19,9,10
Tax %,28%,37%,35%,38%,26%,52%,83%,124%,"1,547%",66%,62%,86%,-92%
Net Profit +,14,21,28,19,16,15,2,-3,-12,8,7,1,18
EPS in Rs,1.29,1.93,2.55,1.77,1.54,1.45,0.31,-0.17,-1.02,0.83,0.78,0.16,1.70
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,275,290,324,378,462,487,431,699,805,934,"1,087","1,141"
Expenses +,207,235,252,299,379,404,342,577,667,755,952,999
Operating Profit,68,56,71,79,83,83,89,122,138,179,135,143
OPM %,25%,19%,22%,21%,18%,17%,21%,17%,17%,19%,12%,13%
Other Income +,2,2,7,10,9,17,8,8,22,19,28,27
Interest,5,10,11,12,9,7,5,8,11,18,41,39
Depreciation,21,11,17,23,33,36,37,43,48,52,66,70
Profit before tax,43,36,50,54,50,57,55,79,102,128,56,61
Tax %,43%,-1%,43%,27%,37%,51%,23%,32%,34%,35%,97%,43%
Net Profit +,25,36,29,39,32,28,42,54,68,84,2,35
EPS in Rs,7.36,4.30,3.40,3.65,2.93,2.55,3.93,5.01,6.27,7.78,0.58,3.46
Dividend Payout %,0%,0%,0%,0%,17%,20%,25%,20%,19%,15%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,35,87,87,108,108,108,108,108,107,107,107,108
Reserves,133,117,164,643,672,691,727,768,820,893,885,898
Borrowings +,98,224,328,114,71,62,44,155,180,378,476,595
Other Liabilities +,85,75,99,96,89,105,118,162,173,231,241,239
Total Liabilities,351,504,679,961,939,967,997,"1,194","1,281","1,609","1,709","1,839"
Fixed Assets +,175,319,323,650,692,672,660,675,685,966,955,"1,064"
CWIP,91,82,221,47,3,6,8,6,11,15,22,0
Investments,0,0,0,0,11,28,16,25,146,81,95,62
Other Assets +,85,102,134,264,233,260,314,488,440,547,637,712
Total Assets,351,504,679,961,939,967,997,"1,194","1,281","1,609","1,709","1,839"

--- CASH FLOW ---
