--- ABOUT ---
"Shilpa Medicare Incorporated in 1987 manufactures niche APIs, intermediates, and formulations and also undertakes contract research and manufacturing service for some of its customers. The company’s formulation products consist of 16 injectable dosage forms, 19 oral solid dosage forms under SML and 13 formulations under SML’s wholly owned subsidiary Shilpa Therapeutics. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"10,783",551,589,46.2

Book Value,Dividend Yield,ROCE,ROE
132,0.09,11.0,9.40

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,264,260,313,287,292,293,344,319,331,321,370,410,437
Expenses +,227,214,255,222,222,222,258,239,252,231,262,296,317
Operating Profit,37,46,58,65,70,70,86,81,79,91,108,114,120
OPM %,14%,18%,19%,23%,24%,24%,25%,25%,24%,28%,29%,28%,27%
Other Income +,2,2,2,2,9,10,5,2,-21,6,2,-13,45
Interest,18,18,23,26,24,24,26,12,14,19,16,11,14
Depreciation,26,27,28,27,27,27,28,29,29,29,30,30,31
Profit before tax,-4,3,9,14,28,29,37,42,15,50,64,61,120
Tax %,90%,64%,83%,67%,12%,51%,51%,24%,5%,5%,32%,27%,10%
Net Profit +,-8,1,2,5,24,14,18,32,15,47,44,45,108
EPS in Rs,-0.46,0.07,0.09,0.26,1.41,0.72,0.92,1.62,0.74,2.40,2.25,2.28,5.51
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,614,719,779,789,733,908,899,"1,141","1,046","1,146","1,281","1,539"
Expenses +,485,566,614,634,585,688,718,940,947,907,965,"1,104"
Operating Profit,129,153,165,155,148,219,181,202,99,239,316,435
OPM %,21%,21%,21%,20%,20%,24%,20%,18%,9%,21%,25%,28%
Other Income +,5,5,15,22,33,17,90,21,17,15,-5,39
Interest,4,7,3,3,4,5,22,41,59,92,76,59
Depreciation,21,29,31,37,42,44,54,80,96,108,113,120
Profit before tax,108,122,146,137,136,188,195,102,-38,54,122,295
Tax %,33%,19%,29%,25%,19%,18%,25%,41%,-19%,41%,36%,18%
Net Profit +,73,99,104,103,110,155,146,61,-31,32,78,243
EPS in Rs,4.78,6.73,6.71,6.45,6.88,9.57,9.06,3.49,-1.87,1.84,4.00,12.44
Dividend Payout %,6%,4%,4%,5%,7%,6%,6%,16%,0%,0%,12%,5%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,8,8,8,8,8,9,9,9,10,20
Reserves,539,639,979,"1,077","1,189","1,321","1,471","1,814","1,775","1,800","2,362","2,572"
Borrowings +,189,221,241,191,194,390,846,683,798,937,588,660
Other Liabilities +,169,194,244,223,218,270,308,370,323,347,351,455
Total Liabilities,905,"1,062","1,472","1,499","1,610","1,989","2,632","2,876","2,904","3,093","3,311","3,706"
Fixed Assets +,316,580,492,534,558,650,"1,111","1,342","1,368","1,385","1,418","2,046"
CWIP,222,95,141,210,429,666,541,506,655,719,822,431
Investments,66,53,253,140,2,10,21,34,43,40,35,58
Other Assets +,301,334,587,615,621,662,959,993,838,950,"1,037","1,170"
Total Assets,905,"1,062","1,472","1,499","1,610","1,989","2,632","2,876","2,904","3,093","3,311","3,706"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,69,129,37,45,147,124,47,105,180,137,132,342
Cash from Investing Activity +,-196,-106,-257,-10,-196,-290,-404,-286,-232,-171,-198,-326
Cash from Financing Activity +,136,-20,313,-61,10,176,436,83,46,47,63,14
Net Cash Flow,9,3,93,-26,-39,10,79,-98,-7,13,-3,30
Free Cash Flow,-74,12,-79,-92,-151,-220,-302,-226,-46,-48,-111,-15
CFO/OP,73%,103%,43%,55%,123%,76%,52%,69%,215%,74%,57%,93%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,48,43,80,102,101,99,88,124,113,125,126,123
Inventory Days,147,161,187,194,266,298,427,338,280,309,309,291
Days Payable,85,101,110,106,115,122,91,139,125,156,85,113
