--- ABOUT ---
"Incorporated in 1990, Sharat Industries Ltd is in the business of Shrimp Aquaculture and manufactures & sells shrimp feeds [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
597,152,180,37.6

Book Value,Dividend Yield,ROCE,ROE
39.4,0.16,12.9,10.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,62.60,79.90,96.84,60.75,64.67,89.85,100.34,96.44,93.91,115.20,149.73,142.54,117.24
Expenses +,58.94,74.12,89.64,56.05,61.14,82.47,91.13,88.64,89.74,103.96,137.79,133.03,113.91
Operating Profit,3.66,5.78,7.20,4.70,3.53,7.38,9.21,7.80,4.17,11.24,11.94,9.51,3.33
OPM %,5.85%,7.23%,7.43%,7.74%,5.46%,8.21%,9.18%,8.09%,4.44%,9.76%,7.97%,6.67%,2.84%
Other Income +,0.36,0.17,0.42,0.09,-0.14,0.30,0.22,0.20,1.04,0.20,0.30,1.67,0.85
Interest,2.47,2.31,2.52,2.40,2.16,2.24,2.84,3.15,3.24,2.81,2.81,3.25,2.86
Depreciation,1.13,1.15,1.18,1.17,1.20,1.21,1.17,1.21,1.24,1.19,1.20,1.25,1.17
Profit before tax,0.42,2.49,3.92,1.22,0.03,4.23,5.42,3.64,0.73,7.44,8.23,6.68,0.15
Tax %,35.71%,27.71%,28.32%,25.41%,"-1,100.00%",27.90%,31.37%,27.47%,26.03%,27.82%,30.26%,29.19%,73.33%
Net Profit +,0.28,1.80,2.81,0.91,0.36,3.06,3.73,2.64,0.53,5.37,5.74,4.74,0.05
EPS in Rs,0.07,0.46,0.71,0.23,0.09,0.77,0.94,0.67,0.14,1.38,1.46,1.21,0.01
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,246,332,302,381,525
Expenses +,233,313,281,352,489
Operating Profit,14,19,21,29,36
OPM %,6%,6%,7%,8%,7%
Other Income +,1,3,1,2,3
Interest,6,9,10,11,12
Depreciation,4,4,5,5,5
Profit before tax,5,9,8,14,23
Tax %,23%,28%,23%,29%,29%
Net Profit +,3,6,6,10,16
EPS in Rs,0.88,1.65,1.49,2.65,4.05
Dividend Payout %,0%,0%,10%,10%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,24,24,24,38,39
Reserves,46,55,60,99,115
Borrowings +,89,89,96,113,126
Other Liabilities +,27,30,24,30,36
Total Liabilities,186,198,204,279,316
Fixed Assets +,46,49,46,43,46
CWIP,3,1,2,2,1
Investments,0,0,0,0,0
Other Assets +,138,147,156,234,269
Total Assets,186,198,204,279,316

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,2,17,-2,-26,1
Cash from Investing Activity +,-8,-6,-2,-2,-9
Cash from Financing Activity +,9,-7,-4,48,3
Net Cash Flow,3,4,-7,20,-5
Free Cash Flow,-6,11,-3,-28,-5
CFO/OP,19%,100%,-2%,-76%,22%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,84,62,68,93,70
Inventory Days,114,82,106,96,96
Days Payable,26,24,19,21,18
Cash Conversion Cycle,172,120,155,168,148
Working Capital Days,42,30,47,69,79
ROCE %,,11%,10%,12%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,38.95%,38.95%,38.95%,38.95%,38.95%,43.58%,43.58%,43.58%,43.95%,43.95%,44.37%,45.01%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.20%,0.20%,0.20%,0.18%,0.00%,0.00%
DIIs +,0.36%,0.36%,0.36%,0.36%,0.36%,0.22%,0.22%,0.22%,0.22%,0.22%,0.22%,0.59%
Public +,60.69%,60.68%,60.68%,60.69%,60.69%,55.97%,56.00%,55.99%,55.63%,55.65%,55.40%,54.39%
No. of Shareholders,"36,871","36,880","37,023","37,377","37,362","38,234","38,482","38,564","38,187","38,032","37,477","37,448"

--- CAGR BOXES ---




