--- ABOUT ---
"Incorporated in 1924, Simplex Infrastructures Ltd is a civil engineering and construction contracting company [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,174",275,330,55.2

Book Value,Dividend Yield,ROCE,ROE
123,0.00,2.40,5.26

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,473,399,312,316,361,296,268,230,282,243,248,248,283
Expenses +,460,388,307,308,360,295,265,226,267,235,232,238,261
Operating Profit,14,11,6,9,1,1,3,4,15,8,16,10,21
OPM %,3%,3%,2%,3%,0%,0%,1%,2%,5%,3%,6%,4%,8%
Other Income +,5,1,6,4,10,10,4,3,52,10,10,18,2
Interest,234,222,5,115,-263,6,5,2,2,2,5,5,0
Depreciation,20,19,17,17,16,16,16,16,8,7,7,7,8
Profit before tax,-235,-229,-11,-120,257,-10,-14,-11,58,8,13,16,15
Tax %,-59%,-35%,-33%,-35%,36%,-8%,-25%,-2%,25%,39%,36%,48%,-26%
Net Profit +,-97,-150,-7,-79,164,-10,-11,-11,43,5,9,8,19
EPS in Rs,-16.95,-26.30,-1.27,-13.80,28.72,-1.73,-1.89,-1.96,6.46,0.60,1.08,1.00,2.40
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"6,202","5,894","5,612","5,767","6,117","4,026","2,200","2,047","1,874","1,388","1,076","1,021"
Expenses +,"5,600","5,184","4,972","5,119","5,408","3,921","2,193","2,033","1,862","1,359","1,053",966
Operating Profit,603,710,640,648,709,105,7,14,12,30,23,55
OPM %,10%,12%,11%,11%,12%,3%,0%,1%,1%,2%,2%,5%
Other Income +,32,73,157,134,113,67,59,44,88,16,69,39
Interest,393,429,445,452,471,517,644,755,839,80,15,13
Depreciation,154,206,199,184,168,138,125,105,86,70,55,29
Profit before tax,87,149,153,147,183,-483,-702,-801,-825,-103,22,52
Tax %,39%,29%,12%,23%,33%,-34%,-33%,-34%,-43%,-30%,44%,22%
Net Profit +,53,105,134,113,122,-321,-469,-527,-471,-72,12,40
EPS in Rs,11.59,21.75,27.65,22.81,21.40,-56.14,-82.13,-92.42,-82.41,-12.65,1.72,5.06
Dividend Payout %,4%,2%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,11,11,11,11,11,11,13,16
Reserves,"1,472","1,400","1,522","1,621","2,034","1,755","1,255",738,289,220,510,960
Borrowings +,"3,369","3,399","3,325","3,537","3,448","3,873","4,608","5,354","5,984","7,180","2,174","1,642"
Other Liabilities +,"3,648","3,098","3,565","4,041","4,100","3,662","3,441","3,765","4,088","3,002","1,641","1,264"
Total Liabilities,"8,498","7,907","8,423","9,208","9,594","9,302","9,316","9,868","10,373","10,414","4,339","3,881"
Fixed Assets +,"1,239","1,288","1,179","1,102","1,022",891,745,627,531,462,240,252
CWIP,8,15,15,13,12,9,3,2,2,3,0,0
Investments,147,116,112,109,105,90,82,53,7,7,9,12
Other Assets +,"7,104","6,487","7,117","7,984","8,455","8,311","8,486","9,185","9,832","9,942","4,091","3,617"
Total Assets,"8,498","7,907","8,423","9,208","9,594","9,302","9,316","9,868","10,373","10,414","4,339","3,881"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,2,520,673,401,33,-19,-483,-447,-432,-83,208,74
Cash from Investing Activity +,-134,-213,-134,-164,-70,72,78,22,206,2,-24,-157
Cash from Financing Activity +,71,-318,-514,-179,32,-88,385,404,259,83,-127,19
Net Cash Flow,-60,-10,25,58,-6,-34,-20,-20,33,3,57,-64
Free Cash Flow,-150,270,576,288,-39,-8,-437,-434,-411,-88,178,19
CFO/OP,-2%,73%,108%,71%,9%,-10%,"-7,376%","-3,201%","-3,673%",-399%,944%,151%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,140,80,99,92,84,130,219,245,268,354,220,187
Inventory Days,183,137,165,145,134,148,204,297,270,524,301,355
Days Payable,359,283,379,382,376,498,717,"1,204","1,338","2,612","2,372","1,921"
Cash Conversion Cycle,-36,-66,-114,-145,-159,-220,-294,-662,-801,"-1,734","-1,852","-1,379"
Working Capital Days,43,40,55,58,70,73,6,-115,-238,-338,406,518
ROCE %,11%,12%,12%,12%,12%,0%,-1%,-1%,-1%,-0%,-0%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,49.82%,49.82%,49.82%,49.82%,49.82%,49.82%,49.82%,42.35%,36.95%,35.99%,35.99%,35.99%
FIIs +,0.35%,0.35%,0.35%,0.35%,0.37%,0.42%,0.46%,0.62%,0.60%,0.44%,0.38%,0.49%
DIIs +,8.84%,0.94%,0.94%,0.94%,0.94%,0.67%,0.00%,0.00%,3.39%,5.65%,5.80%,5.81%
Public +,40.99%,48.88%,48.89%,48.89%,48.87%,49.09%,49.71%,57.02%,59.07%,57.90%,57.82%,57.71%
No. of Shareholders,"19,432","19,310","17,345","16,590","15,749","16,138","15,831","15,249","15,301","15,138","14,984","14,642"

--- CAGR BOXES ---




