--- ABOUT ---
"Sirca Paints India Ltd is engaged in the business of manufacturing, selling and export of wood coatings and other decorative paints under the brand ‘Sirca’. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,342",412,539,36.0

Book Value,Dividend Yield,ROCE,ROE
83.7,0.36,21.2,15.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,68,73,84,72,83,79,105,89,101,114,131,113,134
Expenses +,55,56,62,59,66,65,86,73,82,92,104,90,109
Operating Profit,13,17,21,14,16,14,19,15,19,23,27,23,26
OPM %,19%,24%,25%,19%,20%,18%,18%,17%,19%,20%,21%,20%,19%
Other Income +,1,1,1,2,2,1,1,2,1,0,1,1,1
Interest,0,0,0,0,0,0,0,0,0,1,1,1,1
Depreciation,1,1,2,2,2,2,2,2,2,2,3,3,3
Profit before tax,13,18,21,14,17,14,18,16,18,19,24,20,23
Tax %,27%,27%,26%,24%,26%,27%,26%,26%,22%,26%,26%,26%,23%
Net Profit +,9,13,16,11,13,10,13,11,14,14,18,15,18
EPS in Rs,1.73,2.35,2.83,1.92,2.28,1.86,2.42,2.09,2.57,2.59,3.19,2.65,3.11
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,134,141,196,264,311,372,492
Expenses +,103,128,158,202,243,305,394
Operating Profit,31,12,38,62,69,68,99
OPM %,23%,9%,19%,23%,22%,18%,20%
Other Income +,6,14,4,5,6,5,4
Interest,0,0,0,0,0,0,5
Depreciation,2,4,4,4,6,7,11
Profit before tax,34,23,38,62,69,65,87
Tax %,26%,27%,27%,26%,26%,25%,25%
Net Profit +,25,17,28,46,51,49,65
EPS in Rs,4.59,3.03,5.06,8.41,9.38,8.95,11.45
Dividend Payout %,16%,25%,20%,9%,16%,0%,17%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,27,27,27,27,55,55,57
Reserves,157,174,198,238,254,295,418
Borrowings +,0,13,0,0,0,8,32
Other Liabilities +,25,40,37,47,42,93,82
Total Liabilities,210,255,262,312,351,451,589
Fixed Assets +,50,41,53,54,58,164,174
CWIP,0,2,1,5,6,0,10
Investments,0,0,0,0,44,2,57
Other Assets +,160,212,208,252,243,285,348
Total Assets,210,255,262,312,351,451,589

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-8,19,35,-19,42,54,44
Cash from Investing Activity +,5,15,-11,9,-21,-45,-70
Cash from Financing Activity +,-8,-0,-17,-6,-8,-8,39
Net Cash Flow,-11,34,7,-15,12,1,14
Free Cash Flow,-29,26,19,-29,32,-53,17
CFO/OP,13%,204%,121%,0%,80%,105%,67%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,124,112,85,71,77,92,115
Inventory Days,265,282,217,248,206,198,151
Days Payable,105,151,98,90,70,71,74
Cash Conversion Cycle,285,242,204,229,213,218,193
Working Capital Days,216,200,159,209,150,161,189
ROCE %,,11%,18%,25%,24%,20%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.55%,67.55%,67.55%,67.55%,67.55%,67.55%,67.55%,67.55%,67.54%,65.19%,65.19%,65.19%
FIIs +,5.90%,5.94%,5.93%,5.48%,5.36%,4.61%,4.09%,4.28%,5.18%,6.47%,6.92%,6.29%
DIIs +,0.00%,0.00%,0.80%,0.75%,0.69%,0.69%,0.00%,0.00%,0.00%,0.32%,0.32%,0.00%
Public +,26.56%,26.51%,25.73%,26.22%,26.41%,27.15%,28.36%,28.17%,27.26%,28.02%,27.58%,28.51%
No. of Shareholders,"35,583","45,025","51,911","57,376","57,689","56,926","53,079","52,101","46,029","43,816","40,526","37,648"

--- CAGR BOXES ---




