--- ABOUT ---
"Incorporated in 1969, Soma Textiles Limited manufactures and trades Textile Fabrics."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
320,96.9,164,74.2

Book Value,Dividend Yield,ROCE,ROE
50.8,0.52,2.98,2.65

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,2.78,1.07,1.57,2.06,1.03,1.39,3.64,0.59,3.87,2.05,0.00,28.01,50.82
Expenses +,4.51,1.87,2.49,2.90,1.83,2.53,4.82,2.52,5.41,4.39,3.09,27.72,47.14
Operating Profit,-1.73,-0.80,-0.92,-0.84,-0.80,-1.14,-1.18,-1.93,-1.54,-2.34,-3.09,0.29,3.68
OPM %,-62.23%,-74.77%,-58.60%,-40.78%,-77.67%,-82.01%,-32.42%,-327.12%,-39.79%,-114.15%,,1.04%,7.24%
Other Income +,1.41,1.48,1.76,1.88,23.18,2.48,69.49,1.70,0.98,6.17,2.58,1.68,2.31
Interest,0.23,0.20,0.18,0.12,0.00,0.04,0.04,0.03,0.06,0.06,0.04,0.00,0.01
Depreciation,0.08,0.08,0.08,0.08,0.08,0.10,0.10,0.08,0.13,0.14,0.08,0.03,0.03
Profit before tax,-0.63,0.40,0.58,0.84,22.30,1.20,68.17,-0.34,-0.75,3.63,-0.63,1.94,5.95
Tax %,285.71%,0.00%,0.00%,0.00%,13.54%,0.00%,0.00%,0.00%,-132.00%,0.00%,0.00%,0.00%,17.98%
Net Profit +,-2.43,0.40,0.58,0.84,19.28,1.20,68.17,-0.34,0.24,3.63,-0.63,1.94,4.88
EPS in Rs,-0.74,0.12,0.18,0.25,5.84,0.36,20.64,-0.10,0.07,1.10,-0.19,0.59,1.48
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,225.54,170.24,127.32,82.71,38.46,25.87,12.83,14.55,5.20,5.73,9.49,80.88
Expenses +,235.13,166.22,121.13,78.13,46.37,27.74,18.09,19.29,10.18,9.09,15.27,82.34
Operating Profit,-9.59,4.02,6.19,4.58,-7.91,-1.87,-5.26,-4.74,-4.98,-3.36,-5.78,-1.46
OPM %,-4.25%,2.36%,4.86%,5.54%,-20.57%,-7.23%,-41.00%,-32.58%,-95.77%,-58.64%,-60.91%,-1.81%
Other Income +,6.63,7.51,6.69,8.74,8.05,9.95,-2.06,9.02,180.84,28.31,74.65,12.74
Interest,22.52,22.59,15.04,13.46,13.44,12.62,13.90,18.75,8.08,0.51,0.17,0.11
Depreciation,18.27,6.79,4.08,3.30,2.95,2.47,1.29,0.88,0.52,0.32,0.42,0.28
Profit before tax,-43.75,-17.85,-6.24,-3.44,-16.25,-7.01,-22.51,-15.35,167.26,24.12,68.28,10.89
Tax %,-23.25%,-20.34%,33.49%,139.24%,5.66%,-16.12%,-4.58%,6.58%,1.08%,12.52%,-1.45%,9.83%
Net Profit +,-33.57,-14.22,-8.31,-8.23,-17.20,-5.92,-21.53,-16.42,165.46,21.09,69.27,9.82
EPS in Rs,-10.16,-4.30,-2.52,-2.49,-5.21,-1.79,-6.52,-4.97,50.09,6.38,20.97,2.97
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,33.23,33.23,33.23,33.23,33.23,33.23,33.23,33.23,33.23,33.23,33.23,33.23
Reserves,-16.25,-30.47,-49.31,-57.52,-74.81,-80.97,-102.57,-126.69,34.17,55.30,124.61,134.44
Borrowings +,183.58,160.55,123.13,115.94,113.88,112.33,110.47,115.99,17.28,1.62,2.90,0.29
Other Liabilities +,31.90,66.91,53.19,72.80,82.51,99.44,112.44,129.78,2.24,21.35,0.98,60.85
Total Liabilities,232.46,230.22,160.24,164.45,154.81,164.03,153.57,152.31,86.92,111.50,161.72,228.81
Fixed Assets +,48.53,39.82,29.92,27.88,24.76,19.04,16.83,11.10,2.88,3.17,5.11,0.69
CWIP,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.42,0.43,0.44,2.48,2.56,2.25,1.88,1.84,1.99,24.80,93.23,2.01
Other Assets +,183.45,189.97,129.88,134.09,127.48,142.74,134.86,139.37,82.05,83.53,63.38,226.11
Total Assets,232.46,230.22,160.24,164.45,154.81,164.03,153.57,152.31,86.92,111.50,161.72,228.81

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,50.33,15.62,24.96,13.35,-17.91,-6.24,-6.06,33.10,170.23,25.93,-5.96,-102.93
Cash from Investing Activity +,2.47,2.26,9.26,4.74,6.50,8.71,6.13,9.62,20.26,3.54,-0.54,104.44
Cash from Financing Activity +,-54.89,-7.75,-42.82,-2.21,-2.47,-1.94,-2.29,-2.92,-232.59,-18.17,-3.65,-2.75
Net Cash Flow,-2.09,10.13,-8.61,15.88,-13.88,0.52,-2.22,39.80,-42.09,11.30,-10.15,-1.24
Free Cash Flow,52.38,17.63,30.40,16.09,-15.39,-2.42,-5.14,39.34,178.31,46.80,60.12,-96.05
CFO/OP,-525%,390%,402%,291%,226%,334%,115%,-707%,"-3,422%",-772%,103%,"7,050%"

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,31.30,37.89,13.93,10.64,1.99,0.71,9.67,2.01,131.96,109.56,116.15,414.64
Inventory Days,81.31,77.19,49.90,161.03,56.58,122.35,229.93,56.36,0.00,0.00,0.00,0.00
Days Payable,43.13,59.32,13.35,148.76,86.22,178.79,136.67,23.62,,,,
Cash Conversion Cycle,69.47,55.76,50.49,22.90,-27.65,-55.73,102.93,34.75,131.96,109.56,116.15,414.64
Working Capital Days,-176.04,-22.58,-106.53,-247.08,-732.66,"-1,299.58","-2,829.25","-3,362.77",68.79,"-1,097.55",146.54,517.72
ROCE %,,-0.65%,2.39%,3.00%,-12.74%,-5.80%,-11.67%,-0.44%,11.04%,2.51%,-1.74%,2.98%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.76%,72.76%,72.76%,72.76%,72.76%,74.98%,74.98%,74.98%,74.98%,74.98%,80.60%,80.60%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.05%,0.01%,0.00%
DIIs +,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.04%,0.10%,0.04%,0.04%
Public +,27.19%,27.19%,27.20%,27.21%,27.20%,24.94%,24.98%,24.98%,24.98%,24.87%,19.35%,19.36%
No. of Shareholders,"13,950","13,967","13,834","13,370","13,173","13,148","18,389","17,645","17,335","16,474","15,549","15,248"

--- CAGR BOXES ---




