--- ABOUT ---
"Spectrum Electrical Industries Limited, incorporated in 1995, is engaged in the business of Injection Moulding, manufacturing of Electrical Press Components and Surface treatment of Automobile, Electrical and Stamped parts. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,836","1,805","1,853",63.8

Book Value,Dividend Yield,ROCE,ROE
156,0.00,16.8,20.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,75,87,71,169,85,118,125,283
Expenses +,66,79,61,143,74,102,106,237
Operating Profit,10,8,10,25,12,15,19,46
OPM %,13%,9%,15%,15%,14%,13%,15%,16%
Other Income +,0,6,0,1,2,2,1,2
Interest,3,2,4,4,5,3,5,7
Depreciation,2,3,2,2,3,3,3,6
Profit before tax,4,10,4,20,6,12,12,34
Tax %,54%,26%,38%,31%,11%,34%,17%,22%
Net Profit +,2,7,3,14,6,8,10,26
EPS in Rs,1.38,4.59,1.74,8.70,3.65,4.93,6.44,16.90
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,147,141,151,251,253,328,402,526
Expenses +,129,126,133,226,230,289,348,446
Operating Profit,18,15,19,25,23,39,54,80
OPM %,12%,10%,12%,10%,9%,12%,13%,15%
Other Income +,1,1,2,1,5,6,5,5
Interest,3,3,6,8,7,9,13,15
Depreciation,6,6,6,8,9,9,9,12
Profit before tax,10,6,8,11,12,27,36,58
Tax %,28%,28%,28%,28%,28%,28%,29%,23%
Net Profit +,7,5,6,8,8,20,25,44
EPS in Rs,4.85,3.10,3.91,5.07,5.59,12.64,16.41,28.27
Dividend Payout %,0%,0%,26%,20%,0%,8%,0%,0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,15,15,16,16,16
Reserves,51,56,62,68,77,154,175,229
Borrowings +,46,67,78,79,99,89,185,249
Other Liabilities +,31,22,34,56,64,59,69,174
Total Liabilities,143,159,189,218,255,317,445,668
Fixed Assets +,45,45,70,80,79,82,139,146
CWIP,6,20,5,9,15,23,38,172
Investments,9,10,11,12,13,34,1,1
Other Assets +,83,84,103,116,149,179,268,349
Total Assets,143,159,189,218,255,317,445,668

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-17,3,15,21,2,-1,-26,94
Cash from Investing Activity +,-12,-20,-15,-23,-9,-35,-53,-136
Cash from Financing Activity +,29,18,5,-5,14,39,72,48
Net Cash Flow,0,1,6,-6,6,3,-7,6
Free Cash Flow,-24,-17,-1,-1,-12,-20,-88,-48
CFO/OP,-83%,36%,92%,96%,22%,17%,-28%,136%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,63,61,61,50,60,91,113,60
Inventory Days,139,157,207,135,146,102,101,157
Days Payable,98,55,86,79,103,60,54,92
Cash Conversion Cycle,105,163,182,106,103,133,160,124
Working Capital Days,36,42,34,21,4,38,47,29
ROCE %,,8%,10%,12%,11%,16%,15%,17%

--- SHAREHOLDING PATTERN ---
,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.48%,71.45%,71.45%,71.45%,74.88%,72.53%,72.53%,72.54%,72.54%,72.72%,72.72%,72.72%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.56%,2.51%,2.69%,3.67%,4.11%,4.33%,4.66%,4.94%
DIIs +,0.00%,0.00%,0.00%,0.07%,0.00%,0.31%,0.33%,0.34%,0.34%,0.34%,0.34%,0.34%
Public +,30.51%,28.55%,28.55%,28.48%,24.56%,24.64%,24.45%,23.44%,23.01%,22.61%,22.28%,22.01%
No. of Shareholders,109,104,109,170,272,628,"1,166","1,217","1,631","1,802","1,925","1,808"

--- CAGR BOXES ---




