--- ABOUT ---
"Incorporated in 1970, SRF Ltd manufactures and sells technical textiles, chemicals, packaging films, aluminum foils, and other polymers [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"80,325","2,710","3,325",42.2

Book Value,Dividend Yield,ROCE,ROE
474,0.33,14.6,14.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,778","3,338","3,177","3,053","3,570","3,464","3,424","3,491","4,313","3,819","3,640","3,713","4,615"
Expenses +,"2,846","2,642","2,551","2,487","2,874","2,861","2,886","2,872","3,356","2,989","2,866","2,933","3,589"
Operating Profit,932,696,626,566,696,603,538,620,957,830,774,780,"1,026"
OPM %,25%,21%,20%,19%,19%,17%,16%,18%,22%,22%,21%,21%,22%
Other Income +,22,12,29,19,23,25,33,40,34,29,26,-46,13
Interest,66,66,79,67,90,97,94,96,89,80,71,66,62
Depreciation,155,157,161,169,186,188,194,194,195,203,212,217,220
Profit before tax,733,486,415,348,443,344,284,369,707,576,517,452,757
Tax %,23%,26%,27%,27%,5%,27%,29%,26%,26%,25%,25%,4%,23%
Net Profit +,562,359,301,253,422,252,201,271,526,432,388,433,582
EPS in Rs,18.97,12.12,10.15,8.55,14.24,8.51,6.79,9.14,17.75,14.58,13.10,14.60,19.63
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,540","4,593","4,822","5,589","7,100","7,209","8,400","12,434","14,870","13,139","14,693","15,787"
Expenses +,"3,822","3,630","3,852","4,683","5,803","5,754","6,267","9,330","11,341","10,554","11,975","12,377"
Operating Profit,717,963,969,906,"1,297","1,455","2,133","3,103","3,529","2,584","2,718","3,410"
OPM %,16%,21%,20%,16%,18%,20%,25%,25%,24%,20%,18%,22%
Other Income +,65,28,73,115,78,152,66,116,75,83,133,22
Interest,138,130,102,124,198,201,134,116,205,302,376,278
Depreciation,245,275,283,316,358,389,453,517,575,673,772,852
Profit before tax,399,585,657,582,818,"1,018","1,612","2,586","2,824","1,692","1,704","2,302"
Tax %,24%,27%,22%,21%,22%,-0%,26%,27%,23%,21%,27%,20%
Net Profit +,303,430,515,462,642,"1,019","1,198","1,889","2,162","1,336","1,251","1,835"
EPS in Rs,10.55,14.97,17.94,16.08,22.33,35.46,40.44,63.72,72.95,45.06,42.20,61.91
Dividend Payout %,19%,14%,14%,15%,11%,8%,12%,26%,10%,16%,17%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,58,58,58,58,58,58,60,297,297,297,297,297
Reserves,"2,238","2,705","3,124","3,506","4,071","4,875","6,796","8,268","10,030","11,182","12,329","13,745"
Borrowings +,"2,435","2,515","2,396","3,142","3,730","4,135","3,469","3,655","4,478","5,031","4,726","5,083"
Other Liabilities +,"1,152","1,146","1,389","1,657","2,028","1,795","2,586","3,544","3,931","3,945","4,169","4,971"
Total Liabilities,"5,883","6,424","6,968","8,363","9,888","10,862","12,911","15,765","18,736","20,454","21,521","24,097"
Fixed Assets +,"3,922","4,113","4,405","5,122","5,609","6,368","7,827","8,425","10,050","13,242","13,720","13,926"
CWIP,104,117,259,559,754,"1,393",772,"1,672","2,406",805,811,"1,889"
Investments,94,165,196,122,101,203,417,321,494,527,827,687
Other Assets +,"1,762","2,029","2,109","2,561","3,424","2,899","3,895","5,347","5,786","5,881","6,163","7,594"
Total Assets,"5,883","6,424","6,968","8,363","9,888","10,862","12,911","15,765","18,736","20,454","21,521","24,097"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,542,"1,090",645,678,896,"1,304","1,772","2,106","2,902","2,094","2,487","2,554"
Cash from Investing Activity +,-500,-667,-613,"-1,174","-1,039","-1,179","-1,499","-1,586","-2,964","-2,231","-1,482","-1,589"
Cash from Financing Activity +,-18,-182,-284,495,246,-199,-251,-207,220,-72,"-1,071",-708
Net Cash Flow,24,241,-252,-1,103,-73,22,312,158,-209,-65,256
Free Cash Flow,58,511,5,-605,-157,-69,567,289,50,-108,"1,265",747
CFO/OP,87%,125%,79%,88%,81%,99%,95%,81%,97%,96%,104%,90%

--- RATIOS ---
