--- ABOUT ---
"Incorporated in 1990, STEL Holdings Ltd invests in securities of group companies [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,104",598,657 / 342,55.6

Book Value,Dividend Yield,ROCE,ROE
872,0.00,1.58,1.18

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,13.19,0.52,4.17,0.30,13.48,0.39,7.78,0.30,13.44,0.47,9.27,17.20,0.26
Expenses +,0.26,0.20,0.16,0.15,0.15,0.25,0.13,0.16,0.10,0.23,0.19,0.14,0.21
Operating Profit,12.93,0.32,4.01,0.15,13.33,0.14,7.65,0.14,13.34,0.24,9.08,17.06,0.05
OPM %,98.03%,61.54%,96.16%,50.00%,98.89%,35.90%,98.33%,46.67%,99.26%,51.06%,97.95%,99.19%,19.23%
Other Income +,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
Profit before tax,12.91,0.30,3.99,0.13,13.31,0.13,7.64,0.13,13.32,0.47,9.07,17.05,0.04
Tax %,25.25%,26.67%,25.31%,23.08%,25.09%,23.08%,25.13%,30.77%,25.08%,25.53%,26.68%,26.22%,"-1,175.00%"
Net Profit +,9.66,0.23,2.99,0.10,9.96,0.09,5.72,0.09,9.98,0.35,6.65,12.58,0.52
EPS in Rs,5.23,0.12,1.62,0.05,5.40,0.05,3.10,0.05,5.41,0.19,3.60,6.82,0.28
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,4,10,7,7,10,16,12,20,17,18,22,27
Expenses +,0,13,1,1,1,1,0,1,1,1,1,1
Operating Profit,4,-4,6,6,9,16,12,19,16,18,21,27
OPM %,92%,-39%,85%,87%,94%,96%,96%,97%,96%,96%,97%,97%
Other Income +,0,0,0,0,0,0,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,4,-4,6,6,9,15,12,19,16,18,21,27
Tax %,1%,6%,23%,3%,2%,2%,26%,25%,25%,25%,25%,25%
Net Profit +,4,-4,5,6,9,15,9,15,12,13,16,20
EPS in Rs,2.04,-2.19,2.58,3.12,4.87,8.22,4.69,7.92,6.64,7.19,8.60,10.76
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,103,99,103,735,643,434,759,721,796,"1,485","1,735","1,591"
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities +,0,0,1,0,0,0,5,3,4,96,159,104
Total Liabilities,121,117,123,754,661,453,783,742,819,"1,600","1,913","1,713"
Fixed Assets +,1,1,1,1,1,1,1,1,1,1,1,1
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,111,98,101,727,635,417,687,713,781,"1,566","1,884","1,710"
Other Assets +,9,18,21,25,25,35,95,28,36,32,28,3
Total Assets,121,117,123,754,661,453,783,742,819,"1,600","1,913","1,713"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-0,-4,-3,-2,-1,21,-10,15,14,12,43,-6
