--- ABOUT ---
"Stylam Industries is engaged in the manufacturing of decorative laminates under the brand name “STYLAM” and exports its products primarily to European and South East Asian countries. It manufactures a wide range of high-quality decorative laminates, specialty surfaces, PU+ lacquer coating, solid surfaces and compact laminates. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,640","3,328","3,357",37.6

Book Value,Dividend Yield,ROCE,ROE
476,0.00,27.0,20.5

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,237,226,234,215,240,243,263,255,265,283,292,271,283
Expenses +,196,184,187,167,192,201,208,209,222,230,236,215,227
Operating Profit,41,42,47,48,48,42,54,46,43,53,57,56,56
OPM %,17%,19%,20%,22%,20%,17%,21%,18%,16%,19%,19%,21%,20%
Other Income +,1,1,2,2,0,3,2,2,1,1,1,1,4
Interest,1,1,1,1,0,1,4,-1,-0,7,2,-7,1
Depreciation,4,5,5,6,6,6,5,6,6,5,5,5,6
Profit before tax,36,36,43,44,41,38,47,42,38,41,51,59,52
Tax %,26%,24%,27%,28%,8%,25%,27%,30%,22%,31%,27%,22%,26%
Net Profit +,27,28,32,31,38,28,34,30,30,28,37,46,38
EPS in Rs,15.81,16.39,18.73,18.49,22.17,16.73,20.13,17.59,17.45,16.68,22.03,27.15,22.57
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,461,462,480,659,952,914,"1,025","1,129"
Expenses +,380,382,380,556,797,730,840,909
Operating Profit,80,80,99,104,155,184,185,221
OPM %,17%,17%,21%,16%,16%,20%,18%,20%
Other Income +,1,-14,1,8,1,6,8,7
Interest,11,11,6,8,8,3,4,3
Depreciation,18,21,23,23,20,22,24,21
Profit before tax,52,33,71,81,128,164,165,203
Tax %,25%,44%,22%,24%,25%,22%,26%,26%
Net Profit +,39,19,55,61,96,128,122,150
EPS in Rs,23.82,11.03,32.61,35.93,56.63,75.78,71.91,88.43
Dividend Payout %,0%,0%,0%,7%,0%,3%,0%,0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,8,8,8,8,8,8
Reserves,177,196,251,308,404,528,649,798
Borrowings +,189,118,59,79,47,0,36,29
Other Liabilities +,64,73,89,93,79,69,85,143
Total Liabilities,438,395,407,489,538,606,778,979
Fixed Assets +,233,195,188,179,172,175,177,201
CWIP,13,11,0,0,13,2,83,221
Investments,1,2,1,1,1,0,0,0
Other Assets +,191,188,218,309,352,429,518,557
Total Assets,438,395,407,489,538,606,778,979

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,28,66,79,6,66,109,107,177
Cash from Investing Activity +,-53,19,-5,-30,-12,-36,-126,-156
Cash from Financing Activity +,22,-80,-64,17,-36,-4,-4,-3
Net Cash Flow,-2,5,9,-6,18,69,-23,18
Free Cash Flow,-17,42,73,-8,40,95,0,-2
CFO/OP,46%,104%,97%,24%,59%,83%,82%,104%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,63,69,75,66,48,64,73,67
Inventory Days,93,98,106,129,110,112,121,132
Days Payable,38,52,76,56,27,29,30,50
Cash Conversion Cycle,117,115,105,139,131,147,163,150
Working Capital Days,30,36,71,82,82,108,110,100
ROCE %,,17%,24%,25%,32%,34%,27%,27%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,54.61%,54.61%,54.61%,54.61%,54.61%,54.61%,52.19%,52.19%,52.19%,52.19%,52.19%,54.10%
FIIs +,3.59%,3.99%,3.80%,3.57%,3.84%,3.62%,3.95%,3.68%,2.79%,2.77%,2.04%,2.81%
DIIs +,12.96%,11.60%,12.02%,11.22%,11.25%,7.90%,11.59%,12.62%,12.30%,13.63%,13.24%,13.31%
Public +,28.84%,29.79%,29.56%,30.61%,30.29%,33.86%,32.25%,31.51%,32.70%,31.41%,32.52%,29.78%
No. of Shareholders,"22,823","21,116","21,249","24,816","25,292","32,183","35,558","33,993","35,499","35,383","32,827","31,776"

--- CAGR BOXES ---




