--- ABOUT ---
"Incorporated in 2003, Sula Vineyards Limited is India's largest wine producer and seller as of March 31, 2022. The company also distributes wines under a bouquet of popular brands including ""RASA,"" ""Dindori"", ""The source,"" ""Satori"", ""Madera"" & ""Dia"" with its flagship brand ""Sula"" being the ""category creator"" of wine in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,325",157,310,48.9

Book Value,Dividend Yield,ROCE,ROE
69.6,1.27,7.55,4.61

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,113.38,108.49,133.69,203.04,122.52,120.93,132.36,200.15,125.71,109.64,130.91,180.39,134.91
Expenses +,82.56,78.14,89.49,131.19,93.06,86.97,98.76,147.10,97.25,91.34,105.45,148.44,107.17
Operating Profit,30.82,30.35,44.20,71.85,29.46,33.96,33.60,53.05,28.46,18.30,25.46,31.95,27.74
OPM %,27.18%,27.97%,33.06%,35.39%,24.05%,28.08%,25.39%,26.51%,22.64%,16.69%,19.45%,17.71%,20.56%
Other Income +,0.91,1.57,0.89,1.40,3.85,1.26,0.76,0.90,1.01,0.98,0.83,-0.79,1.49
Interest,4.84,5.32,6.52,8.09,6.24,7.10,7.59,7.81,7.17,7.51,8.55,8.19,7.14
Depreciation,6.81,7.56,7.61,8.11,8.35,8.63,8.69,8.93,8.74,9.21,9.47,10.41,10.08
Profit before tax,20.08,19.04,30.96,57.05,18.72,19.49,18.08,37.21,13.56,2.56,8.27,12.56,12.01
Tax %,29.08%,28.15%,25.42%,24.66%,27.62%,24.94%,19.91%,24.59%,3.91%,24.22%,27.21%,27.55%,28.39%
Net Profit +,14.24,13.68,23.09,42.98,13.55,14.63,14.48,28.06,13.03,1.94,6.02,9.10,8.60
EPS in Rs,1.69,1.62,2.74,5.09,1.61,1.73,1.72,3.32,1.54,0.23,0.71,1.08,1.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,485,386,424,516,568,579,556
Expenses +,432,322,311,358,392,430,452
Operating Profit,53,64,113,158,176,149,104
OPM %,11%,17%,27%,31%,31%,26%,19%
Other Income +,-2,-2,3,3,8,4,2
Interest,33,33,23,21,26,30,31
Depreciation,35,26,24,26,32,35,39
Profit before tax,-17,3,70,114,126,88,35
Tax %,-8%,5%,25%,26%,26%,21%,28%
Net Profit +,-16,3,52,84,93,70,26
EPS in Rs,-10.42,1.98,6.63,9.98,11.06,8.32,3.04
Dividend Payout %,0%,126%,36%,84%,77%,43%,66%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,16,17,17,17,17
Reserves,285,290,380,515,533,569,571
Borrowings +,393,315,240,203,324,315,333
Other Liabilities +,138,132,123,147,152,174,169
Total Liabilities,831,752,759,881,"1,026","1,076","1,089"
Fixed Assets +,355,318,361,413,454,495,512
CWIP,0,0,1,2,5,6,1
Investments,0,0,0,0,0,0,0
Other Assets +,476,434,396,466,567,575,576
Total Assets,831,752,759,881,"1,026","1,076","1,089"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,45,120,87,90,121,58,101
Cash from Investing Activity +,-44,-22,-57,-74,-43,-75,-33
Cash from Financing Activity +,33,-94,-61,-9,2,-74,-67
Net Cash Flow,34,3,-31,6,81,-90,-0
Free Cash Flow,1,104,42,21,63,-7,69
CFO/OP,106%,175%,92%,74%,88%,53%,103%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,114,117,94,81,109,148,156
Inventory Days,334,404,764,775,924,877,609
Days Payable,161,164,318,356,390,374,290
Cash Conversion Cycle,287,357,541,501,643,651,474
Working Capital Days,-2,3,52,85,8,95,101
ROCE %,,6%,15%,20%,19%,13%,8%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,27.27%,26.27%,26.27%,26.18%,25.47%,24.66%,24.66%,24.66%,24.35%,24.35%,24.35%,24.55%
FIIs +,6.78%,20.61%,19.69%,13.85%,12.03%,10.60%,9.61%,7.97%,6.68%,4.05%,1.65%,1.11%
DIIs +,10.23%,17.52%,19.56%,22.61%,22.23%,21.68%,19.89%,18.26%,18.25%,18.01%,17.78%,17.30%
Public +,55.73%,35.60%,34.49%,37.36%,40.26%,43.04%,45.84%,49.11%,50.71%,53.58%,56.22%,57.03%
No. of Shareholders,"1,33,957","1,53,180","1,62,109","2,10,043","2,29,880","2,38,898","2,47,695","2,61,898","2,66,414","2,73,146","2,69,331","2,61,232"

--- CAGR BOXES ---




