--- ABOUT ---
Sunteck Realty Limited is a Mumbai-based real estate developer focused on developing premium residential and commercial properties across Mumbai Metropolitan Region (MMR). [1]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,789",326,473,23.4

Book Value,Dividend Yield,ROCE,ROE
246,0.46,7.54,5.95

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,49,71,25,42,427,316,169,162,206,188,252,344,339
Expenses +,60,79,39,57,274,285,132,113,137,141,175,263,242
Operating Profit,-11,-8,-14,-15,153,31,37,48,69,48,78,81,97
OPM %,-22%,-12%,-57%,-35%,36%,10%,22%,30%,33%,25%,31%,24%,28%
Other Income +,8,18,12,19,8,12,13,13,13,13,10,12,10
Interest,29,17,16,17,18,10,10,9,12,15,19,12,20
Depreciation,3,2,2,2,3,3,4,3,3,3,4,4,4
Profit before tax,-34,-9,-20,-15,140,30,37,49,67,43,65,78,83
Tax %,-18%,-29%,-31%,-36%,28%,24%,6%,14%,25%,22%,24%,27%,24%
Net Profit +,-28,-7,-14,-10,101,23,35,43,50,33,49,57,63
EPS in Rs,-1.91,-0.46,-0.95,-0.66,6.92,1.56,2.36,2.90,3.44,2.28,3.34,3.97,4.34
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,303,243,952,888,857,560,614,513,362,565,853,"1,124"
Expenses +,169,219,606,522,479,392,477,418,298,447,667,819
Operating Profit,134,24,346,367,378,167,137,95,64,118,186,305
OPM %,44%,10%,36%,41%,44%,30%,22%,19%,18%,21%,22%,27%
Other Income +,14,16,5,9,35,20,11,22,35,55,51,45
Interest,18,17,46,42,41,81,85,78,86,68,41,67
Depreciation,2,2,2,2,2,4,5,7,9,10,13,14
Profit before tax,128,21,303,332,370,103,58,33,4,95,183,268
Tax %,37%,-30%,29%,32%,35%,27%,28%,23%,69%,25%,18%,25%
Net Profit +,81,27,216,224,241,75,42,25,1,71,150,202
EPS in Rs,5.41,1.82,16.20,14.64,15.55,5.06,2.86,1.71,0.10,4.84,10.26,13.92
Dividend Payout %,2%,52%,9%,10%,9%,28%,50%,84%,"1,495%",31%,15%,11%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,12,14,14,14,14,14,14,15,15,15
Reserves,"1,458","1,586","1,783","2,616","2,820","2,735","2,758","2,776","2,774","3,110","3,245","3,596"
Borrowings +,"1,071","1,234",944,568,635,921,688,788,684,375,387,774
Other Liabilities +,"1,679","1,340",940,457,457,503,588,"1,920","3,786","4,419","4,675","5,528"
Total Liabilities,"4,220","4,173","3,679","3,656","3,926","4,173","4,048","5,498","7,258","7,918","8,322","9,913"
Fixed Assets +,73,48,72,70,72,55,53,122,149,490,497,639
CWIP,0,0,0,0,0,0,10,7,102,18,34,0
