--- ABOUT ---
"Incorporatd in 1984, Surana Telecom and Power Ltd does manufacturing and trading of Solar related Products, Generation of Solar Power and Wind Power [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
263,19.4,29.3,10.6

Book Value,Dividend Yield,ROCE,ROE
13.4,0.00,13.4,14.7

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,7,7,6,6,7,4,3,4,5,4,9,23,24
Expenses +,12,3,3,3,4,3,2,2,7,3,9,23,28
Operating Profit,-4,4,2,3,3,2,1,2,-2,2,0,-0,-5
OPM %,-57%,58%,43%,45%,39%,37%,26%,44%,-49%,37%,3%,-0%,-19%
Other Income +,1,1,1,1,7,3,4,1,28,3,2,7,26
Interest,0,0,0,0,0,0,0,0,0,0,0,0,2
Depreciation,3,2,2,2,2,2,2,2,2,2,2,2,1
Profit before tax,-6,2,1,1,7,2,2,1,23,3,0,5,19
Tax %,-9%,8%,10%,20%,22%,19%,20%,29%,18%,18%,60%,19%,19%
Net Profit +,-6,2,1,1,5,2,2,0,19,2,0,4,15
EPS in Rs,-0.45,0.10,0.05,0.07,0.39,0.13,0.16,0.06,1.42,0.20,0.06,0.30,1.28
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,18,26,35,35,36,29,29,29,28,25,16,61
Expenses +,6,12,17,14,12,11,10,9,20,13,10,64
Operating Profit,12,13,18,21,24,18,19,20,8,12,6,-3
OPM %,69%,52%,52%,59%,67%,62%,65%,69%,29%,49%,38%,-5%
Other Income +,1,1,1,2,1,8,2,4,10,8,32,39
Interest,4,5,6,7,5,5,4,4,2,1,0,2
Depreciation,8,8,11,14,13,13,12,11,10,9,9,7
Profit before tax,2,2,3,2,7,8,4,9,7,10,29,27
Tax %,18%,18%,18%,24%,15%,13%,15%,14%,23%,20%,19%,20%
Net Profit +,2,1,2,2,6,7,3,8,5,8,23,22
EPS in Rs,0.15,0.12,0.15,0.14,0.42,0.51,0.25,0.58,0.39,0.59,1.73,1.83
Dividend Payout %,82%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,14,14,14,14,14,14,14,14,14,14
Reserves,49,51,73,81,85,89,97,104,110,120,143,168
Borrowings +,114,119,138,55,48,45,45,25,12,2,6,67
Other Liabilities +,16,21,32,12,14,12,17,15,16,17,17,23
Total Liabilities,190,201,257,161,160,158,171,158,151,153,180,271
Fixed Assets +,75,69,198,105,94,85,89,79,72,61,48,124
CWIP,0,86,10,14,15,15,14,14,0,0,0,0
Investments,10,10,17,25,23,20,24,24,35,37,47,30
Other Assets +,104,36,32,18,29,38,44,42,45,55,85,117
Total Assets,190,201,257,161,160,158,171,158,151,153,180,271

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-72,88,36,20,28,12,16,14,14,15,4,-29
Cash from Investing Activity +,-2,-87,-48,-5,-18,-0,-14,8,-1,-3,-5,-32
Cash from Financing Activity +,75,-1,13,-15,-12,-11,-1,-23,-13,-11,3,58
Net Cash Flow,1,-1,1,1,-2,1,1,-1,1,0,2,-3
Free Cash Flow,-76,0,-3,14,25,13,1,14,16,16,29,-94
CFO/OP,-576%,657%,200%,100%,124%,75%,87%,74%,209%,128%,154%,884%

--- RATIOS ---
