--- ABOUT ---
"Incorporated in 1995, Suyog Telematics Limited is engaged primarily in the business of installing, commissioning and servicing of poles, towers and optical fibre cable (OFC ) systems, catering to the telecommunication industry with operators across 12 telecom circles in India. The company is registered as Infrastructure Provider Category-I (IP-I) with the Department of Telecommunications (DoT)."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
953,813,935,15.1

Book Value,Dividend Yield,ROCE,ROE
418,0.22,14.6,14.2

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,45,46,48,49,50,55,55,56,56
Expenses +,17,13,13,15,42,13,14,16,14
Operating Profit,29,33,35,34,8,41,42,40,42
OPM %,63%,71%,73%,70%,16%,75%,75%,71%,75%
Other Income +,2,2,5,1,0,2,1,1,1
Interest,4,3,4,4,5,6,6,6,7
Depreciation,10,11,11,12,13,15,16,16,16
Profit before tax,16,21,25,19,-9,22,22,20,20
Tax %,4%,19%,18%,12%,52%,20%,24%,25%,28%
Net Profit +,16,17,20,17,-14,17,17,15,14
EPS in Rs,14.74,15.84,18.76,15.90,-12.38,15.48,14.85,12.49,12.37
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,167,193,222
Expenses +,49,82,58
Operating Profit,117,110,164
OPM %,70%,57%,74%
Other Income +,8,9,6
Interest,20,17,24
Depreciation,34,47,62
Profit before tax,71,56,83
Tax %,11%,28%,24%
Net Profit +,63,41,63
EPS in Rs,59.38,36.43,53.83
Dividend Payout %,2%,5%,2%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,12
Reserves,288,389,478
Borrowings +,150,213,371
Other Liabilities +,51,71,82
Total Liabilities,500,684,943
Fixed Assets +,366,429,592
CWIP,7,46,88
Investments,0,1,0
Other Assets +,127,208,263
Total Assets,500,684,943

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,72,79,66
Cash from Investing Activity +,-63,-152,-112
Cash from Financing Activity +,-7,96,27
Net Cash Flow,1,22,-20
Free Cash Flow,8,-60,-29
CFO/OP,73%,83%,52%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,101,120,102
Inventory Days,154,150,189
Days Payable,339,478,970
Cash Conversion Cycle,-83,-208,-678
Working Capital Days,11,33,119
ROCE %,,14%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,48.19%,47.93%,47.37%,47.37%,47.32%,47.30%,47.30%,49.53%,49.78%,49.77%,52.02%,52.02%
FIIs +,0.00%,0.00%,0.00%,4.70%,4.68%,4.30%,3.03%,3.05%,1.32%,1.29%,0.68%,0.64%
DIIs +,0.00%,0.00%,0.00%,0.04%,0.08%,0.01%,0.59%,0.67%,0.67%,0.61%,0.01%,0.01%
Public +,51.81%,52.07%,52.63%,47.90%,47.90%,48.38%,49.09%,46.75%,48.24%,48.33%,47.28%,47.34%
No. of Shareholders,"3,486","4,599","5,304","6,615","8,062","11,640","15,806","15,204","14,733","13,738","13,103","12,796"

--- CAGR BOXES ---




