--- ABOUT ---
"Incorporated in 2004, Syrma SGS Technology Ltd is a Chennai-based electronics manufacturing services (EMS) company providing engineering, design, and manufacturing solutions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"25,724","1,334","1,355",80.1

Book Value,Dividend Yield,ROCE,ROE
148,0.11,16.7,13.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,680,601,712,707,"1,143","1,160",833,870,924,944,"1,146","1,264","1,465"
Expenses +,623,564,663,667,"1,059","1,115",762,790,817,857,"1,031","1,105","1,291"
Operating Profit,57,37,49,39,83,45,71,80,108,87,115,159,174
OPM %,8%,6%,7%,6%,7%,4%,9%,9%,12%,9%,10%,13%,12%
Other Income +,24,22,8,12,7,15,10,20,22,16,9,7,11
Interest,4,8,8,11,13,14,14,15,16,15,13,8,13
Depreciation,9,10,12,14,16,17,17,20,21,21,22,20,21
Profit before tax,68,41,37,27,61,29,51,64,93,67,90,138,150
Tax %,37%,31%,17%,25%,26%,31%,22%,17%,23%,26%,26%,20%,21%
Net Profit +,43,28,31,20,45,20,40,53,71,50,66,110,119
EPS in Rs,2.39,1.61,1.60,0.87,1.97,1.09,2.04,2.74,3.67,2.79,3.33,5.33,5.25
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,862,886,"1,267","2,048","3,154","3,787","4,819"
Expenses +,727,784,"1,138","1,856","2,951","3,463","4,275"
Operating Profit,135,102,129,192,203,323,545
OPM %,16%,11%,10%,9%,6%,9%,11%
Other Income +,13,18,18,44,56,47,33
Interest,15,10,11,26,41,58,48
Depreciation,19,23,25,31,51,75,84
Profit before tax,113,87,111,179,166,237,445
Tax %,19%,24%,31%,31%,25%,22%,22%
Net Profit +,92,69,79,123,124,184,346
EPS in Rs,"1,281.97",916.98,5.59,6.75,6.04,9.53,16.48
Dividend Payout %,0%,0%,0%,22%,25%,16%,9%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,138,177,177,178,193
Reserves,418,595,434,"1,364","1,435","1,572","2,670"
Borrowings +,125,103,218,375,630,665,400
Other Liabilities +,238,258,364,628,"1,446","1,788","2,508"
Total Liabilities,786,960,"1,154","2,543","3,688","4,202","5,770"
Fixed Assets +,296,292,378,532,"1,075","1,144","1,463"
CWIP,1,0,41,25,17,66,68
Investments,30,132,41,84,42,59,547
Other Assets +,459,536,694,"1,901","2,554","2,933","3,693"
Total Assets,786,960,"1,154","2,543","3,688","4,202","5,770"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,156,37,-13,-70,-114,176,290
Cash from Investing Activity +,-46,-113,-373,-885,-9,-103,-742
Cash from Financing Activity +,-59,72,382,968,155,-71,558
Net Cash Flow,51,-4,-4,13,32,2,105
Free Cash Flow,108,18,-103,-188,-451,4,114
CFO/OP,131%,58%,13%,-16%,-29%,73%,70%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,76,86,78,72,108,142,139
Inventory Days,93,109,119,139,146,102,108
Days Payable,110,112,98,116,178,196,199
Cash Conversion Cycle,60,83,99,95,76,49,48
Working Capital Days,20,51,30,42,36,37,107
ROCE %,,15%,16%,15%,10%,12%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,47.27%,47.22%,46.89%,46.89%,46.89%,46.89%,46.58%,46.53%,46.43%,42.98%,42.72%,42.28%
FIIs +,9.27%,10.14%,11.13%,12.95%,10.44%,10.32%,8.49%,6.20%,6.34%,7.02%,6.47%,6.60%
DIIs +,9.24%,9.63%,8.21%,5.80%,6.45%,6.44%,7.46%,7.74%,9.15%,16.38%,15.89%,16.59%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
Public +,34.24%,33.02%,33.78%,34.36%,36.22%,36.35%,37.38%,39.49%,38.04%,33.53%,34.80%,34.41%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.06%,0.06%,0.08%,0.13%,0.11%
No. of Shareholders,"81,724","96,452","1,05,068","1,12,395","1,24,943","1,29,398","1,34,503","1,63,296","1,61,089","1,70,983","1,78,615","1,78,986"

--- CAGR BOXES ---




