--- ABOUT ---
"Incorporated in 1939, Tata Chemicals Ltd manufactures and exports basic chemistry  and specialty products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"18,576",729,"1,027 / 580",68.6

Book Value,Dividend Yield,ROCE,ROE
832,1.51,3.42,1.27

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"4,407","4,218","3,998","3,730","3,475","3,789","3,999","3,590","3,509","3,719","3,877","3,550","3,438"
Expenses +,"3,442","3,175","3,191","3,188","3,032","3,215","3,381","3,156","3,182","3,070","3,340","3,205","3,164"
Operating Profit,965,"1,043",807,542,443,574,618,434,327,649,537,345,274
OPM %,22%,25%,20%,15%,13%,15%,15%,12%,9%,17%,14%,10%,8%
Other Income +,86,67,187,98,-861,116,152,-10,29,138,128,21,"-1,760"
Interest,133,123,145,132,130,133,145,148,137,147,144,146,153
Depreciation,234,229,234,246,271,273,277,280,293,280,285,293,343
Profit before tax,684,758,615,262,-819,284,348,-4,-74,360,236,-73,"-1,982"
Tax %,-1%,23%,20%,26%,3%,33%,23%,425%,-34%,12%,35%,-5%,7%
Net Profit +,692,587,495,194,-841,190,267,-21,-49,316,154,-69,"-2,116"
EPS in Rs,27.83,20.88,16.80,6.20,-33.36,5.89,7.61,-2.08,-2.20,9.89,3.02,-3.65,-83.67
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"17,204","14,873","10,346","10,270","10,337","10,357","10,200","12,622","16,789","15,421","14,887","14,584"
Expenses +,"15,305","12,777","8,249","6,926","8,538","8,411","8,693","10,303","12,969","12,574","12,934","12,779"
Operating Profit,"1,900","2,096","2,097","3,344","1,799","1,945","1,506","2,319","3,820","2,847","1,953","1,805"
OPM %,11%,14%,20%,33%,17%,19%,15%,18%,23%,18%,13%,12%
Other Income +,183,210,293,262,785,"6,480",254,472,218,-507,287,"-1,473"
Interest,461,525,297,326,354,342,367,303,406,530,563,590
Depreciation,463,526,512,518,568,666,759,806,892,980,"1,123","1,201"
Profit before tax,"1,159","1,255","1,580","2,763","1,661","7,416",634,"1,682","2,740",830,554,"-1,459"
Tax %,30%,20%,22%,2%,17%,3%,31%,16%,11%,46%,30%,18%
Net Profit +,802,"1,006","1,234","2,702","1,387","7,228",436,"1,405","2,434",435,387,"-1,715"
EPS in Rs,23.41,30.24,38.98,95.49,45.37,274.97,10.06,49.36,90.93,10.52,9.22,-74.41
Dividend Payout %,53%,33%,28%,23%,28%,4%,99%,25%,19%,143%,119%,-15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,255,255,255,255,255,255,255,255,255,255,255,255
