--- ABOUT ---
"Incorporated in 2007, Tribhovandas Bhimji Zaveri Ltd is in the business of retail sales of ornaments made of gold, diamond, silver, platinum and precious stones [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,260",189,218,6.23

Book Value,Dividend Yield,ROCE,ROE
126,1.19,21.4,27.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,465,571,481,741,507,596,567,928,529,624,688,"1,061",830
Expenses +,434,538,451,695,475,555,532,868,493,571,624,930,717
Operating Profit,31,32,30,46,31,41,35,60,36,53,64,131,112
OPM %,7%,6%,6%,6%,6%,7%,6%,6%,7%,9%,9%,12%,14%
Other Income +,1,1,1,2,2,1,1,1,1,2,2,2,2
Interest,12,12,13,12,13,13,13,13,17,18,16,19,16
Depreciation,6,6,6,6,5,6,6,6,7,7,8,6,8
Profit before tax,14,15,12,29,15,23,17,42,14,30,42,108,90
Tax %,15%,25%,26%,26%,17%,27%,30%,28%,30%,24%,25%,26%,25%
Net Profit +,12,11,9,21,13,17,12,30,9,22,32,81,68
EPS in Rs,1.76,1.70,1.35,3.21,1.89,2.56,1.79,4.48,1.42,3.37,4.72,12.08,10.14
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,934","1,655","1,690","1,751","1,764","1,810","1,342","1,844","2,394","2,299","2,620","3,203"
Expenses +,"1,854","1,612","1,617","1,672","1,681","1,690","1,216","1,762","2,269","2,153","2,439","2,842"
Operating Profit,80,42,73,79,83,120,126,82,124,146,181,361
OPM %,4%,3%,4%,5%,5%,7%,9%,4%,5%,6%,7%,11%
Other Income +,23,4,3,6,4,2,12,8,5,6,4,7
Interest,57,61,55,44,53,62,52,41,53,57,64,69
Depreciation,9,10,9,9,10,32,27,23,24,24,25,29
Profit before tax,38,-26,12,32,23,28,60,26,52,72,96,270
Tax %,36%,7%,-10%,34%,33%,24%,28%,22%,23%,24%,29%,25%
Net Profit +,24,-28,13,21,16,21,43,20,40,54,68,202
EPS in Rs,3.65,-4.13,1.94,3.19,2.33,3.21,6.48,3.02,6.02,8.16,10.25,30.32
Dividend Payout %,27%,0%,0%,24%,32%,31%,39%,33%,29%,21%,22%,7%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,67,67,67,67,67,67,67,67,67,67,67,67
Reserves,397,369,389,410,417,414,456,461,494,535,590,771
Borrowings +,588,650,549,569,606,637,438,588,575,614,792,886
Other Liabilities +,237,210,187,174,334,350,254,341,339,243,320,378
Total Liabilities,"1,289","1,296","1,192","1,219","1,423","1,468","1,215","1,457","1,475","1,459","1,769","2,102"
Fixed Assets +,108,109,103,103,111,174,140,152,159,151,164,183
CWIP,5,0,2,0,0,0,0,0,1,0,1,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,"1,176","1,187","1,088","1,116","1,312","1,294","1,075","1,305","1,316","1,308","1,604","1,919"
Total Assets,"1,289","1,296","1,192","1,219","1,423","1,468","1,215","1,457","1,475","1,459","1,769","2,102"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,15,14,153,42,32,149,231,-66,93,40,-27,30
Cash from Investing Activity +,26,-11,0,-9,-21,-6,5,-2,-7,-7,-45,-10
Cash from Financing Activity +,-47,-2,-155,-27,-16,-147,-233,71,-87,-29,85,-17
Net Cash Flow,-7,1,-2,6,-4,-4,3,2,-0,4,13,2
Free Cash Flow,2,4,146,32,17,146,230,-67,86,31,-39,16
CFO/OP,29%,35%,208%,61%,51%,133%,196%,-70%,82%,40%,-1%,27%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0,0,0,5,5,1,1,0,0,3,0,0
Inventory Days,246,292,261,265,307,293,326,276,214,223,241,249
Days Payable,24,24,20,24,51,48,46,46,36,20,27,24
Cash Conversion Cycle,222,269,241,246,261,246,280,230,178,205,215,226
Working Capital Days,61,63,66,67,66,64,105,75,63,73,65,74
ROCE %,8%,3%,6%,7%,7%,8%,11%,6%,9%,11%,12%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.12%,74.12%,74.12%,74.12%,74.12%,74.12%,74.12%,74.12%,74.12%,74.12%,74.12%,74.12%
FIIs +,0.56%,0.94%,1.82%,1.02%,0.76%,0.92%,0.60%,0.64%,0.55%,0.00%,0.00%,0.26%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,25.31%,24.94%,24.05%,24.87%,25.12%,24.85%,25.20%,25.26%,25.33%,25.88%,25.88%,25.63%
No. of Shareholders,"30,152","29,290","30,876","31,111","31,369","49,524","55,154","53,666","53,830","53,332","51,973","54,101"

--- CAGR BOXES ---




