--- ABOUT ---
"Texmaco Rail & Engineering Ltd is an engineering infrastructure co. & part of the Adventz Group, The co. is involved in the business of manufacturing Rolling stock, hydro-mechanical equipment, steel castings & construction of Rail EPC, bridges, and other steel structures. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,447",109,189,22.5

Book Value,Dividend Yield,ROCE,ROE
58.4,0.69,11.4,7.63

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,835,657,805,896,"1,145","1,088","1,346","1,326","1,346",911,"1,258","1,042","1,167"
Expenses +,780,636,729,814,"1,061",981,"1,214","1,196","1,249",840,"1,134",953,"1,061"
Operating Profit,55,21,76,82,84,107,132,131,98,71,124,89,106
OPM %,7%,3%,9%,9%,7%,10%,10%,10%,7%,8%,10%,9%,9%
Other Income +,8,36,5,9,20,23,23,8,20,14,15,18,10
Interest,31,35,37,34,28,28,40,35,34,31,30,31,30
Depreciation,9,12,9,9,9,11,11,11,11,11,11,12,13
Profit before tax,23,11,36,49,67,91,104,93,73,44,98,63,72
Tax %,35%,20%,44%,47%,38%,35%,29%,25%,46%,33%,35%,33%,20%
Net Profit +,18,13,25,30,45,59,74,76,39,29,64,42,58
EPS in Rs,0.57,0.40,0.77,0.80,1.13,1.50,1.82,1.92,1.00,0.75,1.62,1.05,1.42
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,102","1,324","1,135","1,858","1,832","1,689","1,814","2,243","3,503","5,107","4,377"
Expenses +,"1,052","1,249","1,071","1,688","1,672","1,570","1,674","2,098","3,239","4,639","3,987"
Operating Profit,50,74,64,170,160,119,140,145,264,467,390
OPM %,5%,6%,6%,9%,9%,7%,8%,6%,8%,9%,9%
Other Income +,44,46,48,15,-129,25,22,26,70,58,57
Interest,50,58,61,70,97,103,100,116,133,137,123
Depreciation,17,22,25,29,36,37,36,35,38,43,47
Profit before tax,27,39,26,86,-102,3,26,20,162,345,277
Tax %,28%,31%,48%,15%,-32%,-8%,54%,44%,41%,35%,30%
Net Profit +,20,29,13,75,-65,12,21,26,113,249,194
EPS in Rs,0.59,0.78,0.38,2.24,-1.88,0.44,0.64,0.81,2.83,6.24,4.80
Dividend Payout %,28%,21%,44%,10%,-3%,18%,16%,19%,18%,12%,16%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,21,22,22,22,22,25,32,32,40,40,41
Reserves,954,983,"1,048","1,116","1,005","1,116","1,298","1,360","2,493","2,757","2,333"
Borrowings +,432,433,522,575,760,779,710,984,631,948,895
Other Liabilities +,584,540,656,979,"1,099",721,624,"1,009","1,021","1,092","1,785"
Total Liabilities,"1,991","1,978","2,249","2,693","2,887","2,642","2,664","3,385","4,185","4,837","5,054"
Fixed Assets +,329,370,372,393,437,406,389,431,460,993,"1,023"
CWIP,4,2,5,14,7,4,2,9,22,66,165
Investments,432,390,253,143,101,131,77,104,425,246,373
Other Assets +,"1,226","1,217","1,618","2,144","2,342","2,100","2,195","2,840","3,278","3,532","3,494"
Total Assets,"1,991","1,978","2,249","2,693","2,887","2,642","2,664","3,385","4,185","4,837","5,054"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-84,-34,-175,4,10,40,27,-103,96,-47,363
Cash from Investing Activity +,77,40,161,38,-101,-21,18,-73,-633,-96,-231
Cash from Financing Activity +,18,-15,18,-47,96,-13,-12,151,533,172,-101
Net Cash Flow,10,-9,3,-5,6,6,33,-25,-4,30,31
Free Cash Flow,-108,-94,-205,-57,-69,32,11,-156,14,-579,196
CFO/OP,-171%,-26%,-253%,17%,17%,42%,35%,-67%,32%,-0%,107%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,159,151,219,160,128,132,115,128,92,98,104
Inventory Days,161,89,140,127,161,96,120,153,99,79,89
Days Payable,168,114,159,157,166,133,104,128,93,59,62
Cash Conversion Cycle,151,126,200,130,123,95,131,152,98,117,131
Working Capital Days,43,54,125,147,105,123,153,137,151,123,100
ROCE %,,6%,6%,9%,8%,6%,6%,6%,11%,14%,11%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.70%,58.70%,50.16%,48.14%,48.14%,48.14%,48.14%,48.27%,48.27%,48.27%,48.34%,48.34%
FIIs +,2.15%,2.30%,9.57%,11.04%,9.09%,7.87%,8.09%,8.14%,8.14%,7.03%,7.07%,7.22%
DIIs +,6.71%,6.14%,8.80%,8.27%,8.93%,8.70%,8.50%,7.91%,7.38%,7.21%,6.25%,5.79%
Public +,32.44%,32.86%,31.46%,32.53%,33.84%,35.28%,35.26%,35.69%,36.22%,37.49%,38.33%,38.63%
No. of Shareholders,"1,18,074","1,55,103","1,91,870","2,79,188","3,01,623","3,56,289","3,60,042","3,76,234","3,90,700","3,91,153","3,83,011","3,76,192"

--- CAGR BOXES ---




