--- ABOUT ---
"Incorporated in 1991, The Investment Trust of India Ltd provides advisory services and trading activities. Company also holds investment in subsidiaries [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
515,98.6,184,17.5

Book Value,Dividend Yield,ROCE,ROE
141,0.00,8.54,4.08

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,78.40,57.92,76.50,66.82,86.49,70.81,111.19,76.99,93.99,70.10,79.06,82.26,53.12
Expenses +,63.04,57.23,58.62,56.49,64.05,49.86,87.57,52.34,71.58,52.47,62.51,63.14,48.94
Operating Profit,15.36,0.69,17.88,10.33,22.44,20.95,23.62,24.65,22.41,17.63,16.55,19.12,4.18
OPM %,19.59%,1.19%,23.37%,15.46%,25.95%,29.59%,21.24%,32.02%,23.84%,25.15%,20.93%,23.24%,7.87%
Other Income +,7.86,7.89,3.35,7.52,4.66,9.32,12.81,-0.63,1.58,8.87,5.74,10.92,10.23
Interest,3.95,5.41,6.95,6.81,7.85,10.19,8.57,8.30,9.96,10.76,11.31,10.34,4.44
Depreciation,3.51,2.58,2.82,2.86,3.16,2.55,2.83,2.67,3.03,2.62,2.95,2.55,1.92
Profit before tax,15.76,0.59,11.46,8.18,16.09,17.53,25.03,13.05,11.00,13.12,8.03,17.15,8.05
Tax %,16.43%,288.14%,9.77%,24.57%,71.60%,26.35%,18.42%,56.02%,37.82%,22.18%,30.14%,25.31%,24.35%
Net Profit +,13.17,-1.11,10.33,6.17,4.58,12.91,20.42,5.74,6.84,10.20,5.61,12.80,6.09
EPS in Rs,2.49,-0.25,1.98,1.15,0.67,2.37,3.90,0.77,1.10,1.75,0.56,2.27,1.18
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,159,133,168,335,640,463,335,333,311,302,362,285
Expenses +,109,111,119,245,502,396,269,291,280,236,261,227
Operating Profit,50,22,49,90,138,67,66,42,30,66,101,57
OPM %,31%,16%,29%,27%,22%,14%,20%,13%,10%,22%,28%,20%
Other Income +,0,9,10,36,30,4,9,10,18,9,14,36
Interest,37,15,11,52,109,60,41,29,14,27,37,37
Depreciation,9,8,8,9,10,12,10,11,12,11,11,10
Profit before tax,4,7,40,67,49,-2,25,12,22,36,67,46
Tax %,48%,56%,26%,-21%,16%,200%,38%,88%,47%,45%,31%,25%
Net Profit +,2,6,30,80,41,-7,15,1,12,20,46,35
EPS in Rs,0.29,1.11,5.55,15.09,6.92,-1.02,2.93,0.31,2.20,3.55,8.14,5.76
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,28,28,51,51,51,51,52,52,52,52,52,52
Reserves,191,201,411,486,531,534,549,549,584,609,653,683
Borrowings +,460,71,367,698,642,394,284,151,200,378,378,56
Other Liabilities +,140,94,283,359,328,209,255,255,209,263,459,207
Total Liabilities,820,394,"1,112","1,594","1,553","1,188","1,141","1,007","1,045","1,302","1,542",998
Fixed Assets +,31,24,18,24,20,35,23,39,38,33,28,12
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,9,70,401,160,166,167,183,233,260,272,280,356
Other Assets +,780,300,693,"1,410","1,367",986,935,734,747,997,"1,233",630
Total Assets,820,394,"1,112","1,594","1,553","1,188","1,141","1,007","1,045","1,302","1,542",998

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-265,449,-188,-452,147,315,249,302,-97,-209,125,-183
Cash from Investing Activity +,-11,-55,-35,-34,94,1,-12,-52,-25,1,3,-12
Cash from Financing Activity +,291,-404,489,274,-246,-343,-145,-186,66,172,-15,14
Net Cash Flow,15,-10,266,-212,-6,-26,91,64,-57,-37,113,-181
Free Cash Flow,-276,448,-190,-455,141,314,247,296,-108,-216,119,-184
CFO/OP,-514%,"2,114%",-366%,-515%,126%,479%,381%,732%,-300%,-301%,141%,-293%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,90,142,303,68,58,63,59,87,67,97,72,220
Inventory Days,,,,149,79,167,179,29,391,"2,022",,
Days Payable,,,,307,151,294,"1,050",781,657,"2,685",,
Cash Conversion Cycle,90,142,303,-90,-14,-64,-812,-665,-199,-566,72,220
Working Capital Days,-532,51,-321,693,57,84,363,87,233,491,378,141
ROCE %,8%,4%,8%,10%,12%,5%,7%,5%,5%,7%,9%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%,72.12%
FIIs +,6.55%,6.55%,6.55%,6.55%,6.55%,6.55%,6.64%,6.55%,6.55%,6.55%,6.55%,6.55%
Public +,21.33%,21.33%,21.33%,21.33%,21.34%,21.32%,21.24%,21.32%,21.32%,21.33%,21.34%,21.33%
No. of Shareholders,"4,637","4,672","4,555","4,796","4,915","6,080","6,434","6,495","7,014","6,987","6,813","6,721"

--- CAGR BOXES ---




