--- ABOUT ---
"Established in 2019, Schloss Bangalore Limited is a luxury hospitality company operating under ""The Leela"" brand in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"16,504",494,502,40.4

Book Value,Dividend Yield,ROCE,ROE
192,0.00,8.72,8.20

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,228,277,370,425,275,311,457,484
Expenses +,162,163,184,198,173,175,222,219
Operating Profit,66,114,187,227,101,136,235,266
OPM %,29%,41%,50%,53%,37%,44%,51%,55%
Other Income +,12,23,33,38,27,23,7,10
Interest,119,122,117,99,86,38,39,40
Depreciation,38,39,31,31,26,27,29,30
Profit before tax,-79,-25,71,135,16,93,174,206
Tax %,-5%,107%,21%,13%,45%,20%,15%,17%
Net Profit +,-75,-51,56,117,9,75,148,172
EPS in Rs,,,,4.25,0.26,2.24,4.43,5.14
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,860,"1,171","1,301","1,527"
Expenses +,479,623,706,787
Operating Profit,381,548,595,740
OPM %,44%,47%,46%,48%
Other Income +,43,55,106,64
Interest,360,436,459,203
Depreciation,125,148,140,113
Profit before tax,-61,19,102,488
Tax %,2%,111%,53%,17%
Net Profit +,-62,-2,48,403
EPS in Rs,,,1.73,12.07
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,20,276,334
Reserves,"-2,532","-2,846","3,280","6,070"
Borrowings +,"3,883","4,453","4,142","1,811"
Other Liabilities +,"4,504","5,434",568,709
Total Liabilities,"5,876","7,062","8,266","8,924"
Fixed Assets +,"5,259","6,212","6,305","7,853"
CWIP,27,39,131,229
Investments,0,0,14,0
Other Assets +,589,811,"1,816",841
Total Assets,"5,876","7,062","8,266","8,924"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,318,539,553,777
Cash from Investing Activity +,-85,-786,"-5,730",-637
Cash from Financing Activity +,-318,147,"5,236",-170
Net Cash Flow,-84,-100,59,-31
Free Cash Flow,233,419,345,-337
CFO/OP,86%,104%,95%,111%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30,23,25,19
Inventory Days,,,,112
Days Payable,,,,258
Cash Conversion Cycle,30,23,25,-128
Working Capital Days,-65,"-1,666",-76,-66
ROCE %,,30%,12%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.91%,75.91%,75.91%,75.91%
FIIs +,8.65%,8.50%,9.02%,8.62%
DIIs +,9.94%,11.08%,10.58%,10.51%
Public +,5.51%,4.51%,4.49%,4.96%
No. of Shareholders,"90,898","59,930","52,887","51,427"

--- CAGR BOXES ---




