--- ABOUT ---
"Timken India Ltd is engaged in the manufacturing, distribution and sale of anti-friction bearings, components, accessories and mechanical power transmission products for the customer base across different sectors. It also provided maintenance contracts and refurbishment services and industrial services. It was incorporated in 1987 and is a part of the global Timken Group. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"27,751","3,689","3,775",66.9

Book Value,Dividend Yield,ROCE,ROE
387,0.98,19.0,14.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,683,951,786,780,"1,090"
Expenses +,573,737,643,679,848
Operating Profit,111,214,143,101,242
OPM %,16%,23%,18%,13%,22%
Other Income +,14,14,11,7,1
Interest,1,1,1,1,1
Depreciation,21,21,27,29,30
Profit before tax,103,206,126,78,212
Tax %,24%,8%,26%,30%,25%
Net Profit +,78,190,94,55,158
EPS in Rs,10.40,25.30,12.44,7.25,21.05
Raw PDF,,,,,

--- ANNUAL RESULTS ---
,Mar 2025,Mar 2026
Sales +,"3,197","3,478"
Expenses +,"2,586","2,846"
Operating Profit,611,632
OPM %,19%,18%
Other Income +,51,30
Interest,4,4
Depreciation,85,106
Profit before tax,573,553
Tax %,19%,25%
Net Profit +,462,415
EPS in Rs,61.45,55.16
Dividend Payout %,0%,5%

--- BALANCE SHEET ---
,Mar 2025,Mar 2026
Equity Capital,75,75
Reserves,"2,823","2,839"
Borrowings +,18,15
Other Liabilities +,572,771
Total Liabilities,"3,488","3,700"
Fixed Assets +,810,"1,446"
CWIP,592,101
Investments,117,51
Other Assets +,"1,969","2,102"
Total Assets,"3,488","3,700"

--- CASH FLOW ---
,Mar 2025,Mar 2026
Cash from Operating Activity +,399,446
Cash from Investing Activity +,-337,-402
Cash from Financing Activity +,-28,-279
Net Cash Flow,34,-236
Free Cash Flow,25,149
CFO/OP,89%,93%

--- RATIOS ---
,Mar 2025,Mar 2026
Debtor Days,81,85
Inventory Days,124,135
Days Payable,77,105
Cash Conversion Cycle,128,116
Working Capital Days,120,115
ROCE %,,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,57.70%,57.70%,57.70%,57.70%,51.05%,51.05%,51.05%,51.05%,51.05%,51.05%,51.05%,51.05%
FIIs +,6.56%,6.71%,7.13%,7.20%,12.53%,13.14%,12.97%,10.68%,9.44%,7.39%,6.94%,6.96%
DIIs +,19.11%,19.68%,22.57%,23.62%,25.57%,24.80%,24.93%,26.80%,27.68%,29.72%,30.15%,30.63%
Public +,16.64%,15.91%,12.59%,11.45%,10.84%,11.02%,11.04%,11.46%,11.82%,11.84%,11.85%,11.35%
No. of Shareholders,"74,339","73,429","70,040","62,838","66,162","69,093","71,438","76,270","77,827","76,566","74,637","71,023"

--- CAGR BOXES ---




