--- ABOUT ---
"Incorporated in 1984, Tamilnadu Petroproducts Ltd manufactures and sells petrochemical products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
815,90.6,130 / 78.7,8.85

Book Value,Dividend Yield,ROCE,ROE
113,1.32,10.9,9.55

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,479.75,451.10,433.89,345.88,437.70,462.02,449.68,460.28,454.79,463.01,457.34,421.29,124.50
Expenses +,466.50,430.85,413.74,325.96,426.02,450.37,442.36,441.71,428.90,415.72,416.04,390.20,113.08
Operating Profit,13.25,20.25,20.15,19.92,11.68,11.65,7.32,18.57,25.89,47.29,41.30,31.09,11.42
OPM %,2.76%,4.49%,4.64%,5.76%,2.67%,2.52%,1.63%,4.03%,5.69%,10.21%,9.03%,7.38%,9.17%
Other Income +,8.64,7.47,9.49,-6.14,11.80,16.24,6.65,5.68,18.09,7.33,13.16,8.16,11.22
Interest,1.85,1.95,1.44,1.81,1.98,1.24,1.54,1.74,1.74,1.03,3.07,6.79,5.34
Depreciation,5.75,5.12,4.77,6.28,6.44,6.28,6.35,6.37,6.26,6.22,6.20,6.32,7.24
Profit before tax,14.29,20.65,23.43,5.69,15.06,20.37,6.08,16.14,35.98,47.37,45.19,26.14,10.06
Tax %,21.55%,25.33%,23.99%,20.21%,18.39%,26.12%,22.37%,27.51%,25.29%,25.59%,24.23%,23.95%,19.58%
Net Profit +,11.21,15.42,17.81,4.54,12.29,15.05,4.72,11.70,26.88,35.25,34.24,19.88,8.09
EPS in Rs,1.25,1.71,1.98,0.50,1.37,1.67,0.52,1.30,2.99,3.92,3.81,2.21,0.90
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,950,701,889,"1,049","1,245","1,225","1,145","1,806","2,150","1,669","1,827","1,466"
Expenses +,976,704,821,956,"1,154","1,132",975,"1,558","2,023","1,597","1,763","1,335"
Operating Profit,-26,-4,68,93,92,93,170,248,128,72,64,131
OPM %,-3%,-1%,8%,9%,7%,8%,15%,14%,6%,4%,4%,9%
Other Income +,13,73,28,15,10,17,35,18,25,23,46,40
Interest,20,15,34,7,7,9,7,6,7,7,6,16
Depreciation,21,18,16,22,20,22,23,24,21,23,25,26
Profit before tax,-54,37,46,79,75,79,175,236,124,65,79,129
Tax %,-34%,0%,71%,32%,23%,20%,28%,26%,24%,23%,26%,24%
Net Profit +,-43,37,13,53,57,63,126,175,94,50,58,97
EPS in Rs,-4.74,4.10,1.49,5.93,6.34,7.03,14.03,19.49,10.47,5.56,6.49,10.83
Dividend Payout %,0%,0%,0%,8%,16%,21%,18%,15%,14%,22%,18%,14%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,90,90,90,90,90,90,90,90,90,90,90,90
Reserves,175,212,224,277,335,392,501,658,731,769,822,928
Borrowings +,102,67,45,36,40,37,51,56,76,18,135,465
Other Liabilities +,227,120,166,193,164,156,152,177,205,213,307,217
Total Liabilities,594,489,524,596,629,674,794,981,"1,102","1,091","1,354","1,700"
Fixed Assets +,247,218,216,193,230,292,281,267,247,304,285,852
CWIP,18,15,15,37,20,3,1,27,103,73,452,116
Investments,2,0,0,3,1,1,1,1,7,15,15,10
Other Assets +,328,256,293,363,377,378,510,685,745,699,602,721
Total Assets,594,489,524,596,629,674,794,981,"1,102","1,091","1,354","1,700"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,34,73,46,82,78,86,93,112,87,161,207,-100
Cash from Investing Activity +,43,16,-19,-68,-61,-48,-87,-96,-58,-70,-244,-229
Cash from Financing Activity +,-76,-50,-29,-12,-8,-23,-4,-22,-12,-78,100,302
Net Cash Flow,1,39,-2,2,8,14,1,-6,17,13,63,-27
