--- ABOUT ---
"Incorporated in 1992, TPL Plastech Ltd manufactures and sells Polymer Products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
521,66.8,88.0,17.9

Book Value,Dividend Yield,ROCE,ROE
21.6,1.50,22.3,18.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,72.09,69.10,78.42,82.66,82.73,77.16,88.95,91.04,92.18,90.40,106.87,111.22,114.07
Expenses +,64.42,61.47,69.69,72.73,72.98,68.59,79.22,80.08,80.86,80.39,95.00,97.70,101.20
Operating Profit,7.67,7.63,8.73,9.93,9.75,8.57,9.73,10.96,11.32,10.01,11.87,13.52,12.87
OPM %,10.64%,11.04%,11.13%,12.01%,11.79%,11.11%,10.94%,12.04%,12.28%,11.07%,11.11%,12.16%,11.28%
Other Income +,0.02,0.02,0.01,-0.00,0.47,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.06
Interest,1.23,1.26,1.45,1.41,1.32,1.18,1.18,1.22,1.46,1.31,1.31,1.29,1.24
Depreciation,1.34,1.49,1.57,1.36,1.20,1.38,1.42,1.34,1.34,1.41,1.43,1.54,1.56
Profit before tax,5.12,4.90,5.72,7.16,7.70,6.02,7.15,8.42,8.54,7.31,9.15,10.71,10.13
Tax %,25.59%,25.51%,25.52%,17.88%,21.17%,25.58%,25.03%,17.58%,20.14%,25.17%,25.14%,18.86%,20.43%
Net Profit +,3.81,3.65,4.26,5.88,6.07,4.48,5.36,6.93,6.83,5.47,6.85,8.69,8.05
EPS in Rs,0.49,0.47,0.55,0.75,0.78,0.57,0.69,0.89,0.88,0.70,0.88,1.11,1.03
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,180,193,226,216,170,271,313,349,423
Expenses +,158,168,200,192,150,241,277,309,374
Operating Profit,22,24,26,24,20,30,36,41,48
OPM %,12%,13%,11%,11%,12%,11%,12%,12%,11%
Other Income +,0,0,0,1,1,1,0,0,0
Interest,4,5,6,6,6,5,5,5,5
Depreciation,3,3,4,4,4,5,6,5,6
Profit before tax,15,16,16,15,11,20,25,30,37
Tax %,23%,26%,28%,28%,28%,22%,22%,22%,22%
Net Profit +,11,12,11,11,8,16,20,24,29
EPS in Rs,1.45,1.56,1.47,1.38,1.03,2.06,2.54,3.02,3.73
Dividend Payout %,21%,22%,24%,25%,34%,29%,31%,33%,35%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,8,8,8,8,8,16,16,16,16
Reserves,54,63,71,79,84,100,115,132,153
Borrowings +,37,56,58,39,29,44,31,46,19
Other Liabilities +,50,69,70,75,70,65,71,52,68
Total Liabilities,148,196,208,200,190,224,232,245,256
Fixed Assets +,51,71,67,66,58,56,84,93,90
CWIP,6,4,7,7,7,24,1,3,6
Investments,-0,-0,-0,-0,-0,-0,-0,0,1
Other Assets +,91,121,133,127,124,144,147,149,160
Total Assets,148,196,208,200,190,224,232,245,256

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,3,10,10,32,21,-2,29,16,46
Cash from Investing Activity +,-10,-21,-3,-2,-4,-10,-6,-22,-6
Cash from Financing Activity +,6,12,-7,-28,-19,12,-24,6,-40
Net Cash Flow,-0,1,-0,1,-2,-0,0,-0,-0
Free Cash Flow,-6,-11,7,29,17,-12,24,-6,40
CFO/OP,30%,54%,52%,146%,111%,14%,98%,57%,111%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,88,91,86,78,93,73,64,62,54
Inventory Days,79,131,122,124,150,101,103,81,74
Days Payable,101,140,115,133,157,85,83,49,57
Cash Conversion Cycle,66,82,93,69,86,89,83,95,71
Working Capital Days,30,27,26,35,72,79,72,62,65
ROCE %,,19%,17%,16%,14%,,19%,20%,22%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%,74.86%
FIIs +,0.05%,0.00%,0.00%,0.01%,0.12%,0.26%,0.03%,0.00%,0.02%,0.00%,0.45%,0.50%
DIIs +,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.04%
Public +,25.01%,25.07%,25.06%,25.04%,24.94%,24.80%,25.02%,25.05%,25.04%,25.06%,24.62%,24.60%
No. of Shareholders,"12,805","12,073","13,800","18,504","21,935","33,559","33,745","33,585","32,903","31,829","30,566","29,630"

--- CAGR BOXES ---




