--- ABOUT ---
Triveni Turbine Ltd is primarily engaged in business of manufacture and supply of power generating equipment and solutions. [1] It was a division of Triveni Engineering & Industries Ltd [2] since 1970s and was demerged w.e.f from Oct 2010 into a separate entity. [3]

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"21,372",672,788,59.2

Book Value,Dividend Yield,ROCE,ROE
45.5,0.59,35.9,27.1

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,370,376,388,432,458,463,501,503,538,371,506,624,680
Expenses +,303,306,314,348,368,368,390,394,418,298,392,491,552
Operating Profit,66,71,74,84,90,96,111,109,120,74,115,133,128
OPM %,18%,19%,19%,19%,20%,21%,22%,22%,22%,20%,23%,21%,19%
Other Income +,12,13,14,17,18,19,20,22,20,22,18,4,16
Interest,0,1,1,1,1,1,1,0,1,1,0,1,1
Depreciation,5,5,5,6,5,6,6,6,8,8,8,9,9
Profit before tax,73,79,83,95,102,108,124,125,132,87,125,127,134
Tax %,24%,22%,23%,28%,25%,25%,27%,26%,28%,26%,27%,28%,24%
Net Profit +,56,61,64,68,76,80,91,93,95,64,91,92,102
EPS in Rs,1.75,1.91,2.02,2.15,2.39,2.52,2.86,2.91,2.95,2.03,2.87,2.90,3.21
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,651,713,745,751,840,818,703,852,"1,248","1,654","2,006","2,181"
Expenses +,526,553,577,594,687,660,553,692,"1,012","1,333","1,566","1,732"
Operating Profit,125,160,168,157,153,158,149,161,235,321,439,449
OPM %,19%,22%,23%,21%,18%,19%,21%,19%,19%,19%,22%,21%
Other Income +,30,25,33,8,19,24,6,227,43,62,81,61
Interest,4,2,2,2,3,5,3,3,3,5,6,3
Depreciation,16,15,15,19,20,20,20,20,20,21,26,34
Profit before tax,136,167,185,144,149,156,132,365,256,358,489,473
Tax %,32%,32%,33%,33%,33%,22%,22%,26%,25%,25%,27%,26%
Net Profit +,93,113,124,96,100,122,102,270,193,269,359,349
EPS in Rs,2.74,3.42,3.74,2.91,3.10,3.77,3.17,8.36,6.06,8.47,11.24,11.00
Dividend Payout %,31%,32%,32%,34%,0%,13%,38%,23%,0%,43%,36%,41%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,33,33,33,33,32,32,32,32,32,32,32,32
Reserves,196,266,370,419,401,498,605,824,729,928,"1,185","1,414"
Borrowings +,13,1,0,0,0,1,4,2,4,3,39,36
Other Liabilities +,333,278,242,303,311,295,307,493,593,707,783,"1,015"
Total Liabilities,575,578,646,755,744,826,948,"1,352","1,357","1,670","2,039","2,497"
Fixed Assets +,155,132,232,226,254,246,248,247,269,283,323,363
CWIP,6,33,10,39,5,7,1,3,5,1,19,17
Investments,23,20,17,20,19,152,296,478,379,458,348,304
Other Assets +,391,393,386,472,466,420,403,624,703,928,"1,348","1,813"
Total Assets,575,578,646,755,744,826,948,"1,352","1,357","1,670","2,039","2,497"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,71,140,82,91,148,188,187,433,196,271,187,111
Cash from Investing Activity +,-34,-46,-75,-49,-8,-128,-214,-363,89,-195,-7,22
Cash from Financing Activity +,-37,-70,-19,-48,-124,-21,-2,-75,-288,-76,-111,-141
Net Cash Flow,-1,24,-11,-6,15,39,-29,-5,-3,-1,69,-8
Free Cash Flow,60,97,-1,44,133,176,174,419,157,240,144,39
CFO/OP,93%,118%,83%,90%,128%,145%,147%,326%,110%,107%,71%,53%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,83,68,74,101,76,56,40,43,38,39,66,107
Inventory Days,129,143,138,174,171,146,170,138,122,108,78,77
Days Payable,126,82,88,139,91,51,76,85,64,78,125,176
Cash Conversion Cycle,85,129,124,136,157,151,134,97,96,70,20,8
Working Capital Days,21,42,60,81,64,31,-6,-57,-48,-39,47,118
ROCE %,63%,57%,52%,34%,34%,32%,25%,21%,29%,38%,41%,36%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%,55.84%
FIIs +,26.79%,27.68%,27.28%,27.26%,27.51%,28.09%,28.34%,28.00%,25.45%,23.60%,22.38%,20.81%
DIIs +,12.56%,11.66%,12.49%,12.71%,12.33%,11.49%,10.92%,10.63%,12.15%,13.88%,14.60%,16.52%
Public +,4.82%,4.82%,4.39%,4.18%,4.32%,4.59%,4.90%,5.52%,6.57%,6.67%,7.17%,6.83%
No. of Shareholders,"82,728","88,418","83,605","91,420","1,07,624","1,27,944","1,49,553","1,68,753","1,75,934","1,84,573","1,72,009","1,58,560"

--- CAGR BOXES ---




