--- ABOUT ---
"Incorporated in 2007, TV Vision Ltd is engaged in the television channel broadcasting business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
20.2,5.20,12.4,

Book Value,Dividend Yield,ROCE,ROE
-48.5,0.00,,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,17,17,15,12,14,22,13,10,9,8,6,0,0
Expenses +,18,16,16,17,16,25,14,14,13,9,12,3,10
Operating Profit,-1,0,-1,-5,-1,-3,-1,-4,-4,-1,-6,-2,-10
OPM %,-5%,3%,-7%,-37%,-10%,-15%,-12%,-42%,-48%,-18%,-105%,-477%,"-6,393%"
Other Income +,0,0,0,0,0,0,0,1,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,5,4,4,4,4,4,4,4,4,4,4,4,4
Profit before tax,-6,-4,-5,-9,-5,-7,-5,-7,-8,-5,-10,-6,-13
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-6,-4,-5,-9,-6,-7,-5,-7,-8,-5,-10,-6,-13
EPS in Rs,-1.53,-1.07,-1.47,-2.41,-1.50,-1.91,-1.43,-1.80,-2.14,-1.41,-2.72,-1.64,-3.62
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,127,137,176,123,117,110,68,80,71,58,53,14
Expenses +,92,101,126,98,123,109,94,85,71,65,66,34
Operating Profit,35,36,51,25,-6,1,-26,-5,0,-7,-13,-20
OPM %,27%,26%,29%,20%,-5%,1%,-38%,-6%,0%,-11%,-25%,-138%
Other Income +,0,0,0,0,-1,-1,0,0,0,1,2,0
Interest,15,10,17,10,0,2,1,2,1,1,1,0
Depreciation,13,18,21,28,28,28,26,25,19,17,15,15
Profit before tax,7,8,13,-12,-35,-30,-53,-31,-20,-24,-27,-34
Tax %,31%,33%,32%,46%,0%,0%,0%,-0%,0%,0%,0%,0%
Net Profit +,5,5,9,-32,-50,-30,-53,-31,-20,-24,-27,-34
EPS in Rs,,1.46,2.52,-9.17,-14.45,-8.61,-15.16,-8.56,-5.43,-6.46,-7.28,-9.39
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,26,35,35,35,35,35,35,37,37,39,39,39
Reserves,-13,77,86,54,3,-27,-80,-111,-131,-156,-183,-217
Borrowings +,131,58,121,0,0,0,4,2,0,6,7,3
Other Liabilities +,35,36,32,152,165,169,186,184,184,188,193,193
Total Liabilities,179,206,274,240,203,177,145,112,89,78,56,18
Fixed Assets +,88,86,133,185,157,128,102,78,59,42,27,12
CWIP,0,0,29,0,0,0,0,0,0,0,0,0
Investments,0,30,30,15,0,0,0,0,0,0,0,0
Other Assets +,91,90,82,40,47,48,43,35,30,35,29,6
Total Assets,179,206,274,240,203,177,145,112,89,78,56,18

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,50,44,50,66,1,2,-4,1,4,-6,-0,4
Cash from Investing Activity +,-17,-1,-97,-50,-0,-0,-0,-0,-0,-0,-0,-0
Cash from Financing Activity +,-33,-42,47,-17,-0,-2,3,-2,-3,7,1,-5
Net Cash Flow,0,1,0,-1,0,0,-1,-1,0,0,0,-1
Free Cash Flow,33,43,-46,16,0,2,-4,1,4,-6,-0,4
CFO/OP,145%,125%,102%,272%,-19%,276%,14%,-30%,"40,800%",95%,1%,-19%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,72,74,69,77,95,93,126,86,74,81,67,1
Inventory Days,,,,,,,,,,,,0
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,72,74,69,77,95,93,126,86,74,81,67,1
Working Capital Days,-251,-46,44,-345,-385,-417,-813,-705,-803,"-1,037","-1,216","-5,032"
ROCE %,,12%,14%,-2%,-54%,-119%,,,,,,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.16%,36.61%,36.61%,36.61%,36.61%,36.59%,36.59%,32.20%,32.20%,32.20%,32.20%,32.20%
DIIs +,17.92%,16.99%,16.99%,16.99%,16.99%,17.01%,16.94%,6.07%,5.95%,5.95%,5.95%,5.95%
Public +,48.92%,46.39%,46.40%,46.38%,46.39%,46.40%,46.46%,61.74%,61.84%,61.85%,61.84%,61.84%
No. of Shareholders,"11,277","11,207","11,483","13,709","13,249","13,216","13,652","15,035","15,052","15,197","15,663","15,426"

--- CAGR BOXES ---




