--- ABOUT ---
"Union Bank of India is engaged in the Business of Banking Services, Government Business ,Merchant Banking, Agency Business  Insurance, Mutual Funds, Wealth Management etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,34,168",176,205 / 125,6.91

Book Value,Dividend Yield,ROCE,ROE
175,2.84,6.30,15.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,"22,163","23,613","24,732","25,521","26,510","26,527","26,887","26,720","27,869","27,475","26,205","26,819","26,676"
Interest,"13,810","14,664","15,498","16,236","16,966","17,004","17,720","17,350","18,245","18,231","17,247","17,370","17,005"
Expenses +,"10,041","7,978","7,962","8,012","9,365","9,367","8,686","8,096","9,673","8,844","9,056","7,994","8,744"
Financing Profit,"-1,688",971,"1,271","1,273",179,156,480,"1,274",-49,400,-98,"1,455",927
Financing Margin %,-8%,4%,5%,5%,1%,1%,2%,5%,-0%,1%,-0%,5%,3%
Other Income +,"5,601","4,209","4,221","4,281","5,102","4,799","5,926","4,614","6,223","4,869","5,550","5,183","5,999"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"3,912","5,180","5,492","5,554","5,281","4,954","6,406","5,889","6,175","5,269","5,453","6,638","6,926"
Tax %,28%,37%,35%,35%,37%,27%,26%,22%,19%,21%,21%,24%,23%
Net Profit +,"2,812","3,272","3,572","3,625","3,328","3,642","4,751","4,623","5,011","4,428","4,426","5,073","5,504"
EPS in Rs,4.11,4.79,4.82,4.89,4.36,4.77,6.22,6.06,6.56,5.80,5.80,6.65,7.21
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,"32,164","32,316","32,817","32,952","34,314","37,479","69,311","68,230","81,163","100,376","108,417","106,799"
Interest,"23,640","23,894","23,776","23,471","23,896","25,837","44,112","40,178","48,033","63,364","70,733","69,477"
Expenses +,"9,498","10,349","13,871","21,181","19,019","21,166","36,270","32,264","36,155","32,422","34,738","34,638"
Financing Profit,-973,"-1,928","-4,830","-11,700","-8,601","-9,523","-11,071","-4,213","-3,024","4,590","2,946","2,684"
Financing Margin %,-3%,-6%,-15%,-36%,-25%,-25%,-16%,-6%,-4%,5%,3%,3%
Other Income +,"3,957","3,934","5,430","5,462","5,042","5,789","14,307","13,524","15,915","17,813","21,562","21,601"
Depreciation,225,249,241,368,374,417,908,745,745,896,"1,084",0
Profit before tax,"2,759","1,758",359,"-6,607","-3,933","-4,151","2,327","8,566","12,147","21,507","23,424","24,284"
Tax %,36%,24%,-58%,-21%,-25%,-27%,-22%,39%,31%,36%,23%,23%
Net Profit +,"1,771","1,347",573,"-5,212","-2,922","-3,121","2,863","5,265","8,512","13,797","18,027","19,430"
EPS in Rs,27.69,19.73,8.33,-44.61,-16.58,-9.12,4.47,7.70,12.45,18.07,23.62,25.45
Dividend Payout %,22%,10%,0%,0%,0%,0%,0%,25%,24%,20%,20%,20%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,636,687,687,"1,169","1,763","3,423","6,407","6,835","6,835","7,634","7,634","7,738"
Reserves,"19,263","22,361","23,406","24,083","25,073","30,567","58,331","64,026","71,969","89,964","106,200","125,814"
