--- ABOUT ---
"Incorporatedin1994, Uniparts India provides engineering systems and solutions catering to international OEMs across the off-highway vehicle, agricultural machinery, and construction equipment sectors [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,046",675,707,18.9

Book Value,Dividend Yield,ROCE,ROE
193,2.26,21.6,18.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,328,297,294,259,290,261,241,208,253,274,277,281,339
Expenses +,265,237,240,218,242,219,205,176,218,221,219,225,258
Operating Profit,63,59,54,41,47,42,37,32,35,52,58,56,81
OPM %,19%,20%,18%,16%,16%,16%,15%,15%,14%,19%,21%,20%,24%
Other Income +,7,1,1,3,4,4,5,5,6,6,6,2,1
Interest,1,1,1,1,2,2,2,2,2,2,2,3,3
Depreciation,9,10,10,11,10,11,12,11,11,11,11,11,12
Profit before tax,59,49,43,32,39,33,28,25,29,45,51,44,66
Tax %,24%,24%,23%,19%,26%,25%,23%,23%,21%,23%,22%,25%,23%
Net Profit +,45,37,33,26,29,25,21,19,23,34,39,33,51
EPS in Rs,10.04,8.22,7.31,5.75,6.34,5.51,4.69,4.24,5.06,7.64,8.73,7.38,11.33
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,805,"1,061",907,903,"1,227","1,366","1,140",964,"1,170"
Expenses +,715,923,811,783,959,"1,068",938,819,923
Operating Profit,90,138,96,120,268,298,201,145,247
OPM %,11%,13%,11%,13%,22%,22%,18%,15%,21%
Other Income +,2,2,32,44,3,15,9,22,14
Interest,15,18,18,8,6,6,6,8,10
Depreciation,17,30,35,37,37,39,42,44,45
Profit before tax,60,92,74,119,229,268,163,114,206
Tax %,28%,24%,16%,23%,26%,24%,24%,23%,23%
Net Profit +,44,70,63,91,169,205,125,88,158
EPS in Rs,19.30,15.42,13.88,20.21,37.40,45.40,27.63,19.50,35.07
Dividend Payout %,11%,8%,0%,16%,24%,31%,51%,73%,20%

--- BALANCE SHEET ---
,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,22,45,45,45,45,45,45,45,45
Reserves,224,377,420,514,641,786,823,842,825
Borrowings +,212,392,298,162,158,61,103,120,155
Other Liabilities +,149,147,141,181,205,182,170,169,230
Total Liabilities,608,961,904,901,"1,048","1,074","1,140","1,176","1,255"
Fixed Assets +,257,356,340,322,325,337,330,325,359
CWIP,2,9,10,2,2,7,13,12,3
Investments,0,0,0,1,0,25,156,245,205
Other Assets +,349,597,554,575,721,705,641,594,688
Total Assets,608,961,904,901,"1,048","1,074","1,140","1,176","1,255"

--- CASH FLOW ---
,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,-6,133,153,85,253,200,182,174
Cash from Investing Activity +,,-113,-8,-17,-32,-53,-160,-106,20
Cash from Financing Activity +,,125,-123,-141,-49,-175,-59,-62,-181
Net Cash Flow,,6,2,-6,3,25,-20,14,13
Free Cash Flow,,-114,122,137,50,223,166,152,148
CFO/OP,,10%,151%,150%,54%,106%,118%,143%,89%

--- RATIOS ---
,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,37,50,49,68,58,42,43,43,44
Inventory Days,250,363,398,359,417,352,376,404,403
Days Payable,0,68,58,93,81,53,73,94,127
Cash Conversion Cycle,288,345,389,333,393,340,346,353,320
Working Capital Days,99,52,73,117,122,136,134,124,168
ROCE %,,,11%,17%,30%,32%,18%,12%,22%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.66%,65.66%,65.66%,65.66%,65.66%,65.66%,65.66%,65.66%,65.66%,65.89%,65.89%,65.87%
FIIs +,5.48%,3.33%,2.30%,2.28%,2.32%,1.78%,1.81%,2.18%,1.83%,1.99%,2.45%,2.82%
DIIs +,10.87%,11.04%,9.70%,9.29%,8.92%,8.47%,7.84%,6.29%,5.95%,4.78%,4.89%,5.34%
Public +,16.46%,19.04%,21.51%,21.95%,22.27%,23.75%,24.43%,25.75%,26.43%,27.22%,26.67%,25.87%
Others +,1.53%,0.94%,0.84%,0.83%,0.83%,0.34%,0.26%,0.13%,0.12%,0.12%,0.10%,0.09%
No. of Shareholders,"87,989","81,921","86,897","86,556","85,883","85,332","84,691","82,582","80,487","79,083","77,705","74,368"

--- CAGR BOXES ---




