--- ABOUT ---
"Diageo India incorporated in India as United Spirits Ltd.(USL) is the country’s leading beverage alcohol company and a subsidiary of global leader Diageo PLC. The company manufactures, sells, and distributes a wide portfolio of premium brands such as Johnnie Walker, Black Dog, Black & White, VAT 69, Antiquity, Signature, Royal Challenge, McDowell’s No.1, Smirnoff and Captain Morgan. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"96,047","1,320","1,489 / 1,210",52.6

Book Value,Dividend Yield,ROCE,ROE
123,1.29,27.5,21.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,503","2,667","2,869","3,002","2,783","2,761","2,844","3,433","2,946","3,021","3,173","3,691","3,054"
Expenses +,"2,268","1,955","2,401","2,516","2,449","2,049","2,344","2,868","2,437","2,383","2,514","3,077","2,461"
Operating Profit,235,712,468,486,334,712,500,565,509,638,659,614,593
OPM %,9%,27%,16%,16%,12%,26%,18%,16%,17%,21%,21%,17%,19%
Other Income +,0,5,71,52,80,35,54,7,136,58,51,28,226
Interest,36,4,27,16,29,22,25,20,22,49,21,19,69
Depreciation,69,74,66,63,73,72,69,72,70,76,65,80,76
Profit before tax,130,639,446,459,312,653,460,480,553,571,624,543,674
Tax %,21%,25%,24%,24%,23%,26%,26%,30%,24%,27%,26%,23%,20%
Net Profit +,103,477,339,350,241,485,341,335,421,417,464,418,539
EPS in Rs,1.41,6.56,4.66,4.81,3.31,6.67,4.69,4.61,5.79,5.73,6.38,5.75,7.41
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"9,254","8,495","8,818","8,591","9,341","9,325","8,131","9,712","10,612","11,321","12,069","12,467"
Expenses +,"9,619","8,162","7,826","7,381","7,947","7,754","7,080","8,117","9,195","9,321","9,833","10,188"
Operating Profit,-366,333,991,"1,209","1,394","1,571","1,051","1,595","1,417","2,000","2,236","2,279"
OPM %,-4%,4%,11%,14%,15%,17%,13%,16%,13%,18%,19%,18%
Other Income +,-360,648,-265,172,70,87,-25,-117,249,208,271,516
Interest,687,457,375,278,237,212,188,88,104,76,89,158
Depreciation,223,157,189,192,215,285,299,304,283,275,283,289
Profit before tax,"-1,635",366,163,912,"1,012","1,160",540,"1,087","1,279","1,857","2,135","2,348"
Tax %,3%,61%,43%,28%,32%,47%,33%,25%,12%,24%,26%,22%
Net Profit +,"-1,687",143,93,652,684,621,362,811,"1,126","1,408","1,582","1,838"
EPS in Rs,-23.23,1.90,1.38,8.72,9.64,9.07,5.28,11.40,15.63,19.36,21.75,25.27
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,55%,43%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,145,145,145,145,145,145,145,145,145,145,145,145
Reserves,514,"1,489","1,640","2,274","2,945","3,583","3,974","4,808","5,854","6,976","7,959","8,808"
Borrowings +,"4,987","4,242","4,144","3,421","2,883","2,570","1,037",605,183,265,480,413
