--- ABOUT ---
"Incorporated in 2009, Univastu India Ltd is in the construction business [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
321,89.1,107,13.8

Book Value,Dividend Yield,ROCE,ROE
28.7,0.00,30.0,25.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,28,27,25,30,39,28,42,42,40,29,48,56,109
Expenses +,25,24,20,25,31,24,34,34,32,22,40,46,95
Operating Profit,3,3,4,5,8,5,8,8,8,7,8,10,14
OPM %,9%,11%,17%,16%,21%,16%,20%,18%,19%,25%,17%,18%,13%
Other Income +,0,0,1,0,0,0,0,0,0,0,0,0,1
Interest,2,1,2,1,1,1,1,1,1,1,1,1,1
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,1,2,3,3,7,3,7,6,7,6,7,9,14
Tax %,36%,27%,34%,27%,33%,28%,44%,19%,38%,33%,27%,29%,27%
Net Profit +,1,1,2,2,5,2,4,5,4,4,5,6,10
EPS in Rs,0.16,0.29,0.44,0.46,0.96,0.51,0.90,0.89,0.78,0.72,1.29,1.53,2.85
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,22,42,82,101,111,51,59,87,121,171,243
Expenses +,19,38,75,90,100,30,46,72,101,143,203
Operating Profit,3,4,6,11,11,21,13,15,20,28,40
OPM %,13%,9%,8%,11%,10%,42%,22%,17%,16%,17%,16%
Other Income +,0,0,1,0,0,0,0,0,1,1,2
Interest,2,2,2,4,4,7,5,5,5,4,4
Depreciation,0,0,0,1,1,2,1,1,1,1,2
Profit before tax,1,2,5,6,6,13,7,9,15,23,36
Tax %,40%,28%,29%,27%,25%,27%,27%,26%,32%,34%,28%
Net Profit +,1,1,3,5,4,10,5,7,10,16,26
EPS in Rs,1.02,0.54,0.98,1.33,1.27,2.81,1.54,1.94,2.09,2.91,6.48
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,4,6,6,11,11,11,11,11,12,36
Reserves,3,2,9,14,12,22,27,34,41,68,67
Borrowings +,6,6,15,27,32,40,37,33,34,35,34
Other Liabilities +,12,15,30,44,42,48,36,45,53,72,193
Total Liabilities,21,27,60,90,98,121,112,123,139,188,330
Fixed Assets +,1,3,7,12,12,10,9,8,9,13,13
CWIP,0,0,0,0,0,0,0,0,0,0,2
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,20,23,53,78,86,111,103,114,129,174,315
Total Assets,21,27,60,90,98,121,112,123,139,188,330

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-2,2,-8,0,2,-5,12,10,11,-5,12
Cash from Investing Activity +,-0,-3,-3,-6,-1,-0,0,-1,-4,-18,6
Cash from Financing Activity +,3,0,12,8,1,2,-11,-11,-3,18,-3
Net Cash Flow,1,-1,1,3,2,-3,1,-2,3,-5,15
Free Cash Flow,-2,-1,-11,-6,1,-5,12,9,10,-11,11
CFO/OP,-51%,71%,-106%,17%,32%,-6%,104%,81%,74%,2%,54%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,129,81,130,112,43,471,173,77,39,15,121
Inventory Days,210,116,141,274,0,0,0,6,9,8,5
Days Payable,194,123,240,295,,,,250,298,283,309
Cash Conversion Cycle,144,74,30,90,43,471,173,-168,-250,-259,-183
Working Capital Days,58,43,53,41,32,255,184,91,77,99,80
ROCE %,,31%,29%,28%,20%,30%,17%,19%,24%,27%,30%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.47%,73.11%,72.87%,71.20%,71.20%,71.20%,71.20%,71.20%,67.46%,67.46%,67.46%,67.46%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,0.90%,0.00%,0.00%,0.00%,0.00%
Public +,26.53%,26.89%,27.13%,28.80%,28.80%,28.80%,27.86%,27.90%,32.54%,32.54%,32.54%,32.54%
No. of Shareholders,"5,229","5,170","5,413","3,824","3,723","4,256","4,897","4,766","5,976","6,335","7,924","8,530"

--- CAGR BOXES ---




