--- ABOUT ---
"Incorporated in December 2014, Urban Company is a technology-driven, full-stack online marketplace offering home and beauty services. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"20,071",130,201 / 96.4,

Book Value,Dividend Yield,ROCE,ROE
13.9,0.00,-7.82,-12.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,277,288,298,367,380,383,426
Expenses +,294,290,317,381,459,425,545
Operating Profit,-16,-2,-19,-13,-79,-42,-120
OPM %,-6%,-1%,-6%,-4%,-21%,-11%,-28%
Other Income +,27,30,32,31,33,36,37
Interest,3,3,3,3,3,3,3
Depreciation,10,9,9,10,10,12,14
Profit before tax,-2,16,1,6,-59,-21,-100
Tax %,0%,"-1,315%",301%,-23%,0%,1%,61%
Net Profit +,-2,232,-3,7,-59,-21,-161
EPS in Rs,-93.43,"11,870.97",-0.06,0.14,-0.41,-0.15,-1.05
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,219,248,438,637,828,"1,144","1,556"
Expenses +,391,503,987,"1,000",974,"1,184","1,809"
Operating Profit,-173,-256,-549,-364,-146,-40,-254
OPM %,-79%,-103%,-126%,-57%,-18%,-3%,-16%
Other Income +,44,42,72,90,100,116,137
Interest,8,10,8,8,10,11,12
Depreciation,19,26,28,31,37,37,45
Profit before tax,-155,-249,-514,-312,-93,29,-175
Tax %,0%,0%,0%,0%,0%,-740%,34%
Net Profit +,-155,-249,-514,-312,-93,240,-235
EPS in Rs,"-11,782.84","-14,926.95","-27,791.35","-16,890.81","-5,009.18",4.90,-1.52
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.02,0.02,0.02,0.02,49,146
Reserves,631,454,"1,551","1,339","1,292","1,746","1,997"
Borrowings +,0,0,0,102,104,120,136
Other Liabilities +,182,193,243,195,248,294,439
Total Liabilities,813,647,"1,794","1,636","1,645","2,210","2,718"
Fixed Assets +,126,92,87,121,117,127,158
CWIP,0,0,0,0,0,0,0
Investments,479,371,922,"1,009",762,"1,091","1,262"
Other Assets +,208,185,785,506,766,992,"1,298"
Total Assets,813,647,"1,794","1,636","1,645","2,210","2,718"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-139,-141,-315,-238,-86,55,-99
Cash from Investing Activity +,66,111,"-1,087",299,95,-200,-278
Cash from Financing Activity +,220,-23,"1,383",-25,-30,164,435
Net Cash Flow,147,-54,-19,36,-20,19,59
Free Cash Flow,-145,-145,-326,-253,-94,44,-139
CFO/OP,80%,54%,57%,65%,56%,-148%,38%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,2,5,6,6,9,8,9
Inventory Days,91,102,118,67,100,87,103
Days Payable,206,394,393,308,262,190,204
Cash Conversion Cycle,-113,-288,-269,-234,-153,-94,-93
Working Capital Days,-55,-105,-62,-17,-7,-38,22
ROCE %,,-44%,-51%,-20%,-6%,2%,-8%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,20.44%,20.29%,19.02%
FIIs +,67.36%,65.63%,55.77%
DIIs +,6.13%,5.70%,10.74%
Public +,6.08%,8.39%,9.27%
Others +,0.00%,0.00%,5.19%
No. of Shareholders,"2,13,240","2,09,972","2,05,238"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,44%
3 Years:,35%
TTM:,36%

Compounded Profit Growth
10 Years:,%
5 Years:,1%
3 Years:,8%
TTM:,-200%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,%

Return on Equity
10 Years:,%
5 Years:,-13%
3 Years:,-2%
Last Year:,-12%

