--- ABOUT ---
"Incorporated in 1992, Urja Global Ltd is in the business of off-grid and grid connected Solar Power Plants, decentralized Solar Application and trading of solar products, Lead Acid Batteries, Electric vehicles [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
532,10.1,16.2,397

Book Value,Dividend Yield,ROCE,ROE
3.36,0.00,1.27,0.76

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,10.64,9.67,10.96,10.96,13.02,10.38,19.49,20.20,17.18,19.01,15.50,14.61,17.58
Expenses +,10.55,9.21,10.18,10.18,12.81,9.98,19.14,19.87,16.46,18.38,14.83,14.24,17.11
Operating Profit,0.09,0.46,0.78,0.78,0.21,0.40,0.35,0.33,0.72,0.63,0.67,0.37,0.47
OPM %,0.85%,4.76%,7.12%,7.12%,1.61%,3.85%,1.80%,1.63%,4.19%,3.31%,4.32%,2.53%,2.67%
Other Income +,0.47,0.35,0.36,0.36,0.42,0.18,0.28,0.45,0.33,0.60,0.03,0.14,0.12
Interest,0.18,0.18,0.16,0.16,0.14,0.17,0.18,0.15,0.13,0.14,0.16,0.13,0.12
Depreciation,0.29,0.09,0.09,0.09,0.03,0.08,0.10,0.10,0.11,0.12,0.13,0.13,0.11
Profit before tax,0.09,0.54,0.89,0.89,0.46,0.33,0.35,0.53,0.81,0.97,0.41,0.25,0.36
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit +,0.09,0.54,0.90,0.90,0.46,0.33,0.36,0.53,0.81,0.97,0.42,0.25,0.36
EPS in Rs,0.00,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,120.80,127.92,128.32,133.25,136.38,163.56,148.46,72.97,39.58,44.47,67.25,66.70
Expenses +,120.27,125.22,126.33,133.86,136.85,162.42,148.65,72.47,37.89,41.92,65.21,64.57
Operating Profit,0.53,2.70,1.99,-0.61,-0.47,1.14,-0.19,0.50,1.69,2.55,2.04,2.13
OPM %,0.44%,2.11%,1.55%,-0.46%,-0.34%,0.70%,-0.13%,0.69%,4.27%,5.73%,3.03%,3.19%
Other Income +,0.14,0.66,1.16,1.68,2.17,1.80,3.36,1.57,1.83,1.49,1.24,0.89
Interest,1.18,1.09,0.96,0.81,0.68,0.79,0.64,0.74,1.04,0.71,0.63,0.54
Depreciation,0.99,0.71,0.63,0.55,0.47,0.40,0.35,0.34,0.50,0.48,0.62,0.49
Profit before tax,-1.50,1.56,1.56,-0.29,0.55,1.75,2.18,0.99,1.98,2.85,2.03,1.99
Tax %,2.00%,32.69%,33.97%,200.00%,100.00%,36.00%,20.18%,22.22%,22.73%,28.42%,32.02%,32.16%
Net Profit +,-1.51,1.06,1.04,-0.87,0.01,1.12,1.73,0.77,1.53,2.04,1.38,1.35
EPS in Rs,-0.02,0.02,0.02,-0.02,0.00,0.02,0.03,0.01,0.03,0.04,0.02,0.03
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,50.72,50.72,50.72,50.72,50.72,50.72,51.97,53.39,53.39,53.39,53.39,53.39
Reserves,101.64,102.70,103.79,102.92,102.93,104.05,110.79,117.03,118.55,120.59,121.86,123.28
Borrowings +,9.76,7.67,6.80,5.95,5.83,5.67,4.90,5.88,6.50,5.01,8.29,9.42
Other Liabilities +,28.49,19.36,48.90,140.04,197.91,325.75,361.66,388.49,106.85,103.61,107.45,61.92
Total Liabilities,190.61,180.45,210.21,299.63,357.39,486.19,529.32,564.79,285.29,282.60,290.99,248.01
Fixed Assets +,137.84,138.54,49.77,49.22,137.54,137.25,138.07,137.89,47.85,47.81,48.34,104.40
CWIP,0.00,0.00,88.40,88.40,0.00,0.00,0.00,0.00,90.91,85.26,78.98,0.00
