--- ABOUT ---
"Founded in 2017, Fujiyama Power Systems Limited manufactures products and provides solutions in the rooftop solar industry, including on-grid, off-grid, and hybrid solar systems. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,545",311,388 / 171,483

Book Value,Dividend Yield,ROCE,ROE
,0.00,16.6,58.0

Face Value
1.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021
Sales +,299,405
Expenses +,272,367
Operating Profit,28,38
OPM %,9%,9%
Other Income +,3,3
Interest,2,2
Depreciation,13,13
Profit before tax,15,26
Tax %,30%,25%
Net Profit +,11,20
EPS in Rs,7.74,14.48
Dividend Payout %,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021
Equity Capital,14,14
Reserves,11,30
Borrowings +,125,142
Other Liabilities +,46,55
Total Liabilities,195,241
Fixed Assets +,89,83
CWIP,0,0
Investments,0,0
Other Assets +,106,158
Total Assets,195,241

--- CASH FLOW ---
,Mar 2020,Mar 2021
Cash from Operating Activity +,-7,-11
Cash from Investing Activity +,-3,-7
Cash from Financing Activity +,8,16
Net Cash Flow,-2,-2
Free Cash Flow,-11,-18
CFO/OP,-18%,-13%

--- RATIOS ---
,Mar 2020,Mar 2021
Debtor Days,44,41
Inventory Days,67,85
Days Payable,47,44
Cash Conversion Cycle,64,82
Working Capital Days,43,44
ROCE %,,17%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,86.76%,86.76%
FIIs +,2.50%,1.93%
DIIs +,4.72%,5.60%
Public +,6.01%,5.70%
No. of Shareholders,"97,968","80,691"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,35%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,87%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,58%

