--- ABOUT ---
"Incorporated in 1981, Vardhman Polytex Ltd manufactures cotton and blended yarns as well as garments. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
343,7.10,12.5,

Book Value,Dividend Yield,ROCE,ROE
-12.5,0.00,28.4,

Face Value
1.00

--- QUARTERLY RESULTS ---
,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales +,202.74,213.33,204.50,97.83,122.94,135.59,42.79,120.64,151.12,193.97,191.58,215.13,244.00
Expenses +,203.97,209.92,204.85,100.57,124.69,131.03,45.94,120.70,151.36,176.16,173.90,198.83,231.99
Operating Profit,-1.23,3.41,-0.35,-2.74,-1.75,4.56,-3.15,-0.06,-0.24,17.81,17.68,16.30,12.01
OPM %,-0.61%,1.60%,-0.17%,-2.80%,-1.42%,3.36%,-7.36%,-0.05%,-0.16%,9.18%,9.23%,7.58%,4.92%
Other Income +,0.84,0.52,0.66,0.74,0.94,175.19,0.66,0.65,0.66,0.64,0.60,1.14,0.78
Interest,14.74,14.63,14.25,15.34,15.53,14.57,15.35,16.54,11.06,16.05,15.21,15.76,15.82
Depreciation,4.62,4.44,4.58,3.79,3.75,3.59,3.70,3.88,3.50,3.58,3.52,3.51,3.44
Profit before tax,-19.75,-15.14,-18.52,-21.13,-20.09,161.59,-21.54,-19.83,-14.14,-1.18,-0.45,-1.83,-6.47
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit +,-19.75,-15.14,-18.52,-21.14,-20.09,161.59,-21.53,-19.84,-14.14,-1.19,-0.45,-1.83,-6.46
EPS in Rs,-0.68,-0.52,-0.64,-0.73,-0.69,5.55,-0.74,-0.68,-0.49,-0.04,-0.02,-0.06,-0.22
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,803,852,939,"1,051","1,019",951,925,637,808,560,507,928
Expenses +,689,871,837,947,950,889,863,698,807,560,493,868
Operating Profit,114,-19,102,104,69,62,61,-61,2,-0,15,59
OPM %,14%,-2%,11%,10%,7%,6%,7%,-10%,0%,-0%,3%,6%
Other Income +,5,22,13,24,-10,52,12,3,2,177,3,3
Interest,57,86,76,88,91,90,77,84,60,60,59,64
Depreciation,39,45,52,48,42,38,30,30,18,16,15,14
Profit before tax,23,-127,-13,-8,-74,-15,-33,-172,-74,102,-57,-16
Tax %,40%,-18%,-48%,-18%,-40%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,14,-100,-7,-6,-45,-15,-33,-172,-74,102,-57,-16
EPS in Rs,0.77,-4.55,-0.21,-0.25,-1.54,-0.52,-1.15,-5.90,-2.54,3.50,-1.95,-0.53
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Equity Capital,16,16,18,20,22,22,22,22,22,22,22,22
Reserves,117,19,23,32,6,-40,-86,-258,-414,-313,-371,-386
Borrowings +,652,660,654,613,581,534,530,581,446,490,523,529
Other Liabilities +,82,86,129,154,149,159,189,168,270,113,131,161
Total Liabilities,868,781,823,819,758,676,655,513,324,313,306,326
Fixed Assets +,481,554,517,490,397,368,363,340,211,196,183,170
CWIP,30,22,14,8,4,7,7,3,0,0,0,0
Investments,1,1,3,8,0,0,0,0,0,0,0,0
Other Assets +,355,205,290,313,357,301,286,170,112,117,123,156
Total Assets,868,781,823,819,758,676,655,513,324,313,306,326

--- CASH FLOW ---
,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity +,-2,214,90,71,85,109,92,51,134,13,24,61
Cash from Investing Activity +,-25,-90,-2,-11,2,-7,-24,-5,114,0,-1,-1
