--- ABOUT ---
"Incorporated in 1973, Veljan Denison Ltd manufactures Hydraulic Pumps, Motors, Valves and Custom Built Power Packs [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
565,"1,255","1,385",21.9

Book Value,Dividend Yield,ROCE,ROE
558,0.68,14.9,10.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,30.49,32.04,33.89,35.02,36.75,36.90,37.34,40.00,41.47,42.62,38.63,36.92,45.91
Expenses +,26.08,23.17,26.39,26.59,28.19,28.57,28.19,30.05,32.08,31.78,28.62,28.48,35.59
Operating Profit,4.41,8.87,7.50,8.43,8.56,8.33,9.15,9.95,9.39,10.84,10.01,8.44,10.32
OPM %,14.46%,27.68%,22.13%,24.07%,23.29%,22.57%,24.50%,24.88%,22.64%,25.43%,25.91%,22.86%,22.48%
Other Income +,0.63,0.63,0.64,0.81,0.75,0.72,0.66,0.67,0.84,0.73,0.75,0.76,0.87
Interest,0.16,0.20,0.48,0.18,0.16,0.08,0.10,0.13,0.32,0.07,0.09,0.14,0.28
Depreciation,1.53,1.32,1.33,1.45,1.49,1.42,1.48,1.50,1.64,1.55,1.62,1.63,1.63
Profit before tax,3.35,7.98,6.33,7.61,7.66,7.55,8.23,8.99,8.27,9.95,9.05,7.43,9.28
Tax %,38.81%,25.69%,25.75%,25.89%,25.72%,32.58%,26.49%,27.03%,27.21%,26.23%,26.52%,31.90%,26.83%
Net Profit +,2.05,5.93,4.69,5.63,5.69,5.09,6.05,6.56,6.03,7.33,6.65,5.06,6.79
EPS in Rs,4.56,13.18,10.42,12.51,12.64,11.31,13.44,14.58,13.40,16.29,14.78,11.24,15.09
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,121,138,156,164
Expenses +,95,104,119,124
Operating Profit,26,33,37,40
OPM %,21%,24%,24%,24%
Other Income +,2,3,3,3
Interest,1,1,1,1
Depreciation,5,6,6,6
Profit before tax,22,30,33,36
Tax %,26%,25%,28%,28%
Net Profit +,16,22,24,26
EPS in Rs,35.60,49.04,52.71,57.42
Dividend Payout %,18%,17%,16%,15%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,4,4
Reserves,183,203,221,246
Borrowings +,9,7,8,1
Other Liabilities +,30,27,33,30
Total Liabilities,225,239,268,283
Fixed Assets +,70,90,95,96
CWIP,15,3,2,2
Investments,0,0,0,0
Other Assets +,139,147,171,184
Total Assets,225,239,268,283

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,19,15,19,32
Cash from Investing Activity +,-17,-8,-9,-13
Cash from Financing Activity +,0,-8,-4,-12
Net Cash Flow,2,-0,7,7
Free Cash Flow,5,5,9,25
CFO/OP,94%,64%,77%,103%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,93,82,82,81
Inventory Days,466,511,515,447
Days Payable,96,78,89,63
Cash Conversion Cycle,464,515,508,466
Working Capital Days,191,204,204,212
ROCE %,,15%,15%,15%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%,74.98%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public +,25.02%,25.02%,25.02%,25.01%,25.02%,25.00%,25.02%,25.02%,25.01%,25.02%,25.02%,25.02%
No. of Shareholders,"2,911","2,994","3,018","3,553","4,151","4,210","4,843","4,772","4,758","4,822","4,700","4,549"

--- CAGR BOXES ---




