--- ABOUT ---
"Founded in 1977, V-Guard Industries Ltd. (‘V-Guard’) is a reputed Indian company manufacturing innovative and experiential products in the categories of Electronics, Electricals and Consumer Durables. It has grown from being a brand synonymous with voltage stabilizers across South India, to a brand offering a wide array of thoughtfully engineered products to consumers across the length and breadth of the country. Underpinned by its continuous quest to enrich consumer lives and power a stronger tomorrow. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,598",311,413,41.9

Book Value,Dividend Yield,ROCE,ROE
54.3,0.48,18.6,14.5

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,139","1,215","1,134","1,165","1,343","1,477","1,294","1,269","1,538","1,466","1,341","1,404","1,755"
Expenses +,"1,042","1,110","1,041","1,064","1,215","1,321","1,184","1,165","1,395","1,342","1,232","1,280","1,585"
Operating Profit,97,105,92,102,128,156,110,104,143,124,109,123,171
OPM %,9%,9%,8%,9%,10%,11%,9%,8%,9%,8%,8%,9%,10%
Other Income +,4,12,14,3,5,7,4,5,4,5,5,-16,8
Interest,10,11,9,9,10,9,8,6,3,4,2,3,3
Depreciation,19,20,20,19,22,22,22,25,27,26,27,27,28
Profit before tax,72,86,78,76,101,132,85,79,118,98,85,77,147
Tax %,27%,25%,24%,24%,24%,25%,25%,24%,23%,25%,23%,26%,24%
Net Profit +,53,64,59,58,76,99,63,60,91,74,65,57,112
EPS in Rs,1.22,1.48,1.36,1.34,1.75,2.28,1.46,1.38,2.09,1.69,1.50,1.31,2.57
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,086","2,326","2,594","2,503","2,721","3,500","4,127","4,857","5,578","5,966"
Expenses +,"1,876","2,135","2,369","2,244","2,409","3,159","3,807","4,429","5,064","5,439"
Operating Profit,210,191,225,259,312,341,320,428,514,527
OPM %,10%,8%,9%,10%,11%,10%,8%,9%,9%,9%
Other Income +,12,10,20,24,20,10,16,33,20,1
Interest,2,2,2,4,6,8,16,40,25,12
Depreciation,16,20,23,29,39,49,64,81,96,108
Profit before tax,204,180,220,250,288,294,256,340,414,408
Tax %,29%,25%,23%,25%,30%,22%,26%,24%,24%,24%
Net Profit +,145,135,168,188,202,228,189,258,314,308
EPS in Rs,3.41,3.15,3.92,4.37,4.67,5.28,4.38,5.93,7.20,7.06
Dividend Payout %,21%,22%,20%,21%,26%,25%,30%,24%,21%,21%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,42,43,43,43,43,43,43,43,44,44
Reserves,592,707,857,953,"1,168","1,364","1,564","1,771","2,054","2,329"
Borrowings +,6,7,14,13,69,68,503,401,134,165
Other Liabilities +,294,414,458,447,594,632,788,936,"1,098","1,175"
Total Liabilities,934,"1,171","1,372","1,455","1,875","2,107","2,899","3,152","3,329","3,714"
Fixed Assets +,169,218,231,284,370,463,"1,247","1,334","1,374","1,525"
CWIP,10,7,8,67,20,17,27,37,49,20
Investments,89,75,83,36,33,33,34,101,81,276
Other Assets +,666,870,"1,050","1,068","1,452","1,593","1,591","1,679","1,825","1,893"
Total Assets,934,"1,171","1,372","1,455","1,875","2,107","2,899","3,152","3,329","3,714"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,130,52,156,141,222,-37,424,393,477,459
Cash from Investing Activity +,-106,-25,-51,-112,41,-121,-771,-153,-97,-364
Cash from Financing Activity +,-16,-37,-25,-91,-6,-62,326,-232,-378,-98
Net Cash Flow,8,-10,80,-62,257,-220,-21,8,3,-3
Free Cash Flow,88,11,103,57,158,-161,323,265,357,279
CFO/OP,93%,49%,93%,85%,95%,15%,148%,111%,114%,107%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,55,71,65,47,52,50,49,45,35,33
Inventory Days,68,71,76,105,124,130,97,92,102,98
Days Payable,54,76,73,67,94,69,62,62,67,71
Cash Conversion Cycle,68,66,68,85,83,112,85,75,70,60
Working Capital Days,58,70,65,74,71,88,55,41,43,50
