--- ABOUT ---
"Incorporated in June 2004, Vraj Iron and Steel Limited manufactures Sponge Iron, M.S. Billets, and TMT bars under the brand -' 'Vraj'' [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
404,122,183,12.6

Book Value,Dividend Yield,ROCE,ROE
126,0.00,10.5,7.89

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,139,106,115,81,119,115,88,120,153,138,133,146,170
Expenses +,127,84,89,70,101,94,74,109,137,125,120,141,145
Operating Profit,12,22,26,11,18,21,14,11,16,13,13,5,25
OPM %,9%,21%,23%,13%,15%,18%,16%,9%,11%,10%,10%,4%,15%
Other Income +,1,2,2,3,1,1,2,2,1,2,3,2,4
Interest,1,1,1,1,0,0,0,0,0,0,0,1,1
Depreciation,2,1,1,1,1,1,1,2,4,5,5,5,7
Profit before tax,11,22,26,11,17,21,14,11,14,10,10,1,21
Tax %,30%,25%,24%,23%,25%,24%,25%,26%,26%,25%,25%,19%,26%
Net Profit +,8,16,20,9,13,16,10,8,10,8,8,1,16
EPS in Rs,15.49,33.03,7.96,3.46,5.19,6.29,3.12,2.50,3.03,2.30,2.35,0.33,4.72
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,291,414,516,420,475,588
Expenses +,263,366,438,343,412,531
Operating Profit,28,48,77,77,63,57
OPM %,10%,12%,15%,18%,13%,10%
Other Income +,2,2,5,8,6,11
Interest,6,4,3,3,2,2
Depreciation,7,7,6,6,8,23
Profit before tax,16,39,72,76,59,43
Tax %,31%,26%,25%,24%,25%,25%
Net Profit +,11,29,54,57,44,32
EPS in Rs,22.23,58.05,109.21,23.22,13.37,9.71
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,25,33,33
Reserves,52,82,136,176,364,382
Borrowings +,47,44,25,63,2,43
Other Liabilities +,21,20,26,17,18,23
Total Liabilities,126,150,192,281,417,480
Fixed Assets +,64,58,53,48,195,273
CWIP,0,0,0,64,3,7
Investments,13,15,18,23,38,26
Other Assets +,49,77,120,146,181,174
Total Assets,126,150,192,281,417,480

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,22,9,63,19,14,31
Cash from Investing Activity +,-6,-1,-40,-56,-103,-70
Cash from Financing Activity +,-16,-7,-23,36,90,38
Net Cash Flow,0,0,-0,-0,1,-1
Free Cash Flow,18,7,61,-45,-81,-74
CFO/OP,92%,31%,104%,52%,43%,68%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,9,10,9,10,16,20
Inventory Days,38,37,30,54,54,54
Days Payable,20,9,13,13,9,9
Cash Conversion Cycle,26,38,26,51,62,66
Working Capital Days,6,24,44,40,66,74
ROCE %,,36%,51%,37%,18%,11%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%
FIIs +,0.94%,0.51%,0.53%,0.51%,0.23%,0.22%,0.18%
DIIs +,3.66%,3.66%,3.66%,3.66%,3.66%,3.66%,3.66%
Public +,20.45%,20.88%,20.86%,20.87%,21.16%,21.16%,21.21%
No. of Shareholders,"39,880","41,020","40,080","39,424","38,258","36,786","35,095"

--- CAGR BOXES ---




