--- ABOUT ---
"Incorporated in 2016, WeWork India Management Limited is a flexible workspace operator in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,739",631,679,111

Book Value,Dividend Yield,ROCE,ROE
22.0,0.00,20.7,31.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,470,492,539,535,575,634,696
Expenses +,171,181,196,200,195,227,246
Operating Profit,298,311,344,335,380,408,450
OPM %,64%,63%,64%,63%,66%,64%,65%
Other Income +,30,-29,16,10,11,7,20
Interest,157,160,148,136,153,152,159
Depreciation,202,205,225,223,231,246,267
Profit before tax,-31,-83,-13,-14,6,17,44
Tax %,-748%,0%,-375%,0%,-3%,-0%,-50%
Net Profit +,204,-83,37,-14,6,17,66
EPS in Rs,37.16,-9.21,2.72,-1.05,0.47,1.25,4.84
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,315","1,665","1,949","2,440"
Expenses +,519,618,711,867
Operating Profit,796,"1,047","1,239","1,574"
OPM %,61%,63%,64%,64%
Other Income +,108,72,28,48
Interest,414,508,598,601
Depreciation,637,744,824,967
Profit before tax,-147,-133,-155,53
Tax %,-0%,-0%,-184%,-42%
Net Profit +,-147,-136,128,75
EPS in Rs,-26.79,-24.79,9.51,5.50
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,55,55,134,135
Reserves,-347,-635,66,163
Borrowings +,481,768,310,"5,550"
Other Liabilities +,"4,225","4,294","4,882","1,244"
Total Liabilities,"4,414","4,483","5,392","7,092"
Fixed Assets +,"3,576","3,613","4,323","5,777"
CWIP,13,15,34,38
Investments,57,164,33,268
Other Assets +,768,692,"1,002","1,009"
Total Assets,"4,414","4,483","5,392","7,092"

--- CASH FLOW ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,942,"1,162","1,290","1,734"
Cash from Investing Activity +,-386,-393,-304,-647
Cash from Financing Activity +,-534,-797,-984,"-1,048"
Net Cash Flow,22,-29,2,39
Free Cash Flow,709,918,918,"1,137"
CFO/OP,123%,108%,105%,111%

--- RATIOS ---
,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,19,18,16,13
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,19,18,16,13
Working Capital Days,-215,-207,-185,-189
ROCE %,,196%,139%,21%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,49.80%,49.42%
FIIs +,21.97%,20.37%
DIIs +,24.83%,25.61%
Public +,3.38%,4.59%
No. of Shareholders,"52,272","53,800"

--- CAGR BOXES ---




