--- ABOUT ---
"Incorporated 1960, Zenith Steel Pipes & Industries Ltd does manufacturing and selling of ERW And SAW Pipes [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
83.5,5.87,10.3 / 4.39,26.6

Book Value,Dividend Yield,ROCE,ROE
-17.5,0.00,,

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,30.55,24.40,27.74,45.84,43.06,28.50,30.07,35.69,24.82,18.92,14.04,9.40,11.29
Expenses +,28.36,25.48,34.27,45.23,36.33,31.15,30.64,35.68,26.86,23.37,19.47,13.02,13.88
Operating Profit,2.19,-1.08,-6.53,0.61,6.73,-2.65,-0.57,0.01,-2.04,-4.45,-5.43,-3.62,-2.59
OPM %,7.17%,-4.43%,-23.54%,1.33%,15.63%,-9.30%,-1.90%,0.03%,-8.22%,-23.52%,-38.68%,-38.51%,-22.94%
Other Income +,-0.31,0.11,0.39,0.13,4.46,1.83,1.24,0.91,5.93,6.51,7.25,6.22,5.06
Interest,0.98,0.72,0.73,0.74,0.73,0.61,0.62,0.63,0.62,0.62,0.63,0.64,0.60
Depreciation,0.64,0.67,0.67,0.67,0.57,0.48,0.49,0.49,0.49,0.49,0.47,0.49,0.48
Profit before tax,0.26,-2.36,-7.54,-0.67,9.89,-1.91,-0.44,-0.20,2.78,0.95,0.72,1.47,1.39
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit +,0.26,-2.36,-7.54,-0.67,9.89,-1.92,-0.44,-0.20,2.78,0.96,0.72,1.47,1.39
EPS in Rs,0.02,-0.17,-0.53,-0.05,0.70,-0.13,-0.03,-0.01,0.20,0.07,0.05,0.10,0.10
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,84.02,91.49,156.92,169.65,183.63,101.38,77.87,163.12,164.92,143.22,119.09,53.38
Expenses +,141.82,128.66,176.01,211.86,297.69,132.11,79.41,148.04,177.17,143.47,124.34,69.63
Operating Profit,-57.80,-37.17,-19.09,-42.21,-114.06,-30.73,-1.54,15.08,-12.25,-0.25,-5.25,-16.25
OPM %,-68.79%,-40.63%,-12.17%,-24.88%,-62.11%,-30.31%,-1.98%,9.24%,-7.43%,-0.17%,-4.41%,-30.44%
Other Income +,2.50,22.53,0.80,16.16,7.19,12.56,-5.72,7.86,3.80,5.06,9.91,25.03
Interest,9.39,10.43,8.67,7.69,7.29,4.53,3.47,6.99,3.48,2.92,2.48,2.48
Depreciation,6.29,6.11,6.24,7.33,6.01,5.65,2.84,2.67,2.45,2.58,1.95,1.92
Profit before tax,-70.98,-31.18,-33.20,-41.07,-120.17,-28.35,-13.57,13.28,-14.38,-0.69,0.23,4.38
Tax %,0.13%,4.78%,0.00%,0.00%,0.00%,0.00%,0.00%,12.42%,0.00%,0.00%,0.00%,0.00%
Net Profit +,-71.07,-32.66,-33.20,-41.07,-120.17,-28.34,-13.58,11.63,-14.38,-0.70,0.23,4.38
EPS in Rs,-5.41,-2.49,-2.53,-3.13,-9.15,-2.16,-0.95,0.82,-1.01,-0.05,0.02,0.31
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,131.28,131.28,131.28,131.28,131.28,131.28,142.28,142.28,142.28,142.28,142.28,142.28
Reserves,-153.30,-185.96,-219.43,-259.78,-373.06,-382.53,-396.00,-384.20,-398.40,-399.14,-399.03,-391.21
Borrowings +,276.98,291.05,299.97,295.95,283.23,246.91,227.93,227.46,219.35,215.15,215.19,220.19
Other Liabilities +,110.60,123.25,141.16,178.83,194.63,184.24,161.73,206.88,205.67,223.68,200.11,182.68
Total Liabilities,365.56,359.62,352.98,346.28,236.08,179.90,135.94,192.42,168.90,181.97,158.55,153.94
Fixed Assets +,97.15,97.14,91.98,80.33,74.55,65.87,48.03,44.38,44.64,43.61,41.80,40.03
CWIP,17.04,13.26,12.70,12.78,14.44,0.00,0.00,0.00,0.99,0.82,1.20,1.29
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets +,251.36,249.21,248.29,253.16,147.08,114.02,87.91,148.04,123.27,137.54,115.55,112.62
Total Assets,365.56,359.62,352.98,346.28,236.08,179.90,135.94,192.42,168.90,181.97,158.55,153.94

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-30.65,-5.30,7.06,4.13,21.20,24.93,16.44,-1.17,17.90,4.74,6.25,-1.04
Cash from Investing Activity +,46.51,7.37,-2.47,4.87,-0.13,14.06,-0.65,7.71,-3.24,-2.47,-1.28,-1.19
Cash from Financing Activity +,-16.37,1.31,-7.05,-7.47,-20.86,-40.99,-15.45,-7.46,-11.34,-7.12,-2.44,0.42
Net Cash Flow,-0.51,3.38,-2.46,1.54,0.21,-1.99,0.34,-0.92,3.32,-4.84,2.53,-1.81
Free Cash Flow,-30.48,-6.77,4.59,9.00,20.97,24.71,15.83,7.67,14.22,3.35,5.73,-1.27
CFO/OP,53%,14%,-37%,-10%,-19%,-81%,"-1,068%",24%,-135%,"-2,456%",-119%,6%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,448.58,435.14,293.47,249.57,71.68,31.75,56.86,112.13,104.22,150.57,173.35,390.57
Inventory Days,78.18,98.69,37.76,9.86,2.99,32.17,82.79,107.92,62.38,90.80,52.21,72.59
Days Payable,173.03,217.59,180.44,195.49,213.77,325.67,309.25,346.42,277.39,408.76,603.80,957.03
Cash Conversion Cycle,353.73,316.23,150.79,63.95,-139.11,-261.75,-169.60,-126.37,-110.79,-167.38,-378.24,-493.87
Working Capital Days,-447.54,-536.87,-392.94,-421.00,-631.63,"-1,073.79","-1,357.40",-604.38,-697.44,-755.38,-913.77,"-1,872.66"
ROCE %,-18.80%,-8.45%,-10.89%,-17.29%,-101.76%,-128.38%,,,,,,

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,15.64%,15.64%,15.64%,15.64%,15.64%,15.64%,15.64%,15.64%,15.64%,15.64%,15.64%,15.64%
DIIs +,0.29%,0.20%,0.12%,0.08%,0.08%,0.08%,0.08%,0.02%,0.02%,0.02%,0.02%,0.02%
Public +,84.08%,84.17%,84.23%,84.29%,84.29%,84.29%,84.29%,84.34%,84.35%,84.34%,84.34%,84.35%
No. of Shareholders,"75,292","74,863","73,261","75,230","81,770","81,952","82,184","82,762","83,248","81,560","80,093","79,750"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-5%
5 Years:,-7%
3 Years:,-31%
TTM:,-55%

Compounded Profit Growth
10 Years:,8%
5 Years:,2%
3 Years:,30%
TTM:,554%

Stock Price CAGR
10 Years:,25%
5 Years:,44%
3 Years:,13%
1 Year:,-34%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,%
Last Year:,%

