--- ABOUT ---
"Incorporated in 1984, Zodiac Clothing Company Limited deals in clothing and clothing accessories [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
221,80.6,119 / 58.5,

Book Value,Dividend Yield,ROCE,ROE
66.3,0.00,-8.03,-18.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,42.09,32.98,32.25,36.51,44.06,37.87,42.85,45.74,47.94,39.10,36.51,41.27,44.63
Expenses +,46.05,38.71,35.81,40.02,50.64,47.08,46.56,49.88,52.06,43.00,43.05,43.17,44.99
Operating Profit,-3.96,-5.73,-3.56,-3.51,-6.58,-9.21,-3.71,-4.14,-4.12,-3.90,-6.54,-1.90,-0.36
OPM %,-9.41%,-17.37%,-11.04%,-9.61%,-14.93%,-24.32%,-8.66%,-9.05%,-8.59%,-9.97%,-17.91%,-4.60%,-0.81%
Other Income +,43.01,1.96,-0.31,7.34,-0.11,6.32,2.50,1.52,3.07,2.60,3.30,2.61,4.34
Interest,1.54,1.45,1.78,1.67,1.85,1.89,1.89,1.94,2.22,2.38,2.66,2.66,2.44
Depreciation,4.32,4.16,5.04,4.78,5.05,5.06,5.16,5.07,5.11,5.45,5.83,6.37,6.14
Profit before tax,33.19,-9.38,-10.69,-2.62,-13.59,-9.84,-8.26,-9.63,-8.38,-9.13,-11.73,-8.32,-4.60
Tax %,-0.54%,-2.35%,2.25%,3.82%,-0.15%,-0.81%,70.58%,5.61%,-62.17%,1.97%,0.77%,3.85%,14.35%
Net Profit +,33.37,-9.16,-10.93,-2.72,-13.57,-9.77,-14.08,-10.16,-3.18,-9.32,-11.82,-8.64,-5.27
EPS in Rs,12.84,-3.52,-4.20,-1.05,-5.22,-3.76,-5.42,-3.91,-1.22,-3.59,-4.55,-3.32,-1.92
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,391,349,280,238,216,191,100,127,175,146,174,162
Expenses +,369,344,289,260,227,182,122,143,180,163,193,174
Operating Profit,22,5,-8,-22,-11,9,-22,-17,-5,-18,-19,-13
OPM %,6%,2%,-3%,-9%,-5%,5%,-22%,-13%,-3%,-12%,-11%,-8%
Other Income +,6,3,21,11,3,12,25,26,46,8,13,13
Interest,5,5,5,5,6,15,10,7,8,8,10,10
Depreciation,10,11,12,11,11,35,23,19,18,19,20,24
Profit before tax,13,-8,-4,-26,-25,-30,-30,-16,16,-36,-36,-34
Tax %,29%,-2%,3%,-10%,7%,-4%,-1%,-1%,-3%,0%,3%,4%
Net Profit +,9,-8,-4,-23,-27,-29,-29,-16,16,-36,-37,-35
EPS in Rs,4.62,-4.21,-2.24,-12.03,-12.58,-12.89,-11.87,-6.61,6.15,-13.99,-14.31,-12.76
Dividend Payout %,67%,-24%,-45%,-8%,-8%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,20,20,20,21,22,25,25,26,26,26,27
Reserves,248,243,280,268,283,237,231,222,253,220,180,155
Borrowings +,58,72,59,67,64,142,90,73,64,86,94,107
Other Liabilities +,71,62,52,56,41,39,34,39,33,46,50,53
Total Liabilities,396,396,410,411,409,440,380,359,376,378,350,342
Fixed Assets +,131,142,142,135,128,193,151,125,116,139,143,150
CWIP,6,5,3,3,3,2,1,3,3,6,1,0
Investments,48,64,72,56,54,28,36,51,84,65,38,39
Other Assets +,210,184,193,217,224,217,191,181,174,168,167,153
Total Assets,396,396,410,411,409,440,380,359,376,378,350,342

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,14,19,3,-37,-25,11,-9,-5,1,-5,-14,9
Cash from Investing Activity +,-16,-38,16,34,-10,33,8,7,16,17,27,-4
Cash from Financing Activity +,-1,7,-17,1,35,-36,-2,-10,-15,-15,-13,-7
