--- ABOUT ---
"Incorporated in 1967, Zuari Agro Chemicals Ltd manufactures, trades and markets chemical fertilizers and fertilizer products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,003",238,395 / 175,3.38

Book Value,Dividend Yield,ROCE,ROE
497,0.00,16.4,15.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,339","1,205","1,649",843,898,"1,097","1,123","1,264",952,"1,246","1,423",344,187
Expenses +,"1,208","1,116","1,510",768,879,978,"1,022","1,148",920,"1,105","1,249",334,202
Operating Profit,131,90,139,75,19,118,101,117,32,141,174,9,-14
OPM %,10%,7%,8%,9%,2%,11%,9%,9%,3%,11%,12%,3%,-8%
Other Income +,-629,15,45,43,131,12,81,51,61,72,923,43,11
Interest,54,57,55,49,51,48,44,40,36,34,32,18,17
Depreciation,21,23,23,24,25,25,25,26,25,25,25,4,5
Profit before tax,-573,25,106,45,74,56,113,101,32,154,"1,040",30,-25
Tax %,-25%,106%,37%,37%,-4%,48%,18%,20%,16%,17%,19%,-34%,0%
Net Profit +,-427,-2,67,29,77,29,93,81,27,127,840,40,-25
EPS in Rs,-108.99,-5.77,8.44,3.19,17.87,2.18,19.31,12.97,4.72,23.54,191.68,9.43,-5.95
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"7,613","7,611","6,377","7,265","8,103","3,042","2,404","3,590","4,553","4,595","4,436","3,200"
Expenses +,"7,313","7,334","5,905","6,722","7,783","3,382","2,369","3,351","4,215","4,233","4,058","2,890"
Operating Profit,300,277,472,542,320,-340,35,239,338,362,378,309
OPM %,4%,4%,7%,7%,4%,-11%,1%,7%,7%,8%,9%,10%
Other Income +,71,50,23,113,-11,124,146,220,616,195,195,"1,050"
Interest,318,419,440,404,488,278,200,173,207,211,168,101
Depreciation,30,66,77,83,87,68,68,67,79,95,102,59
Profit before tax,23,-157,-22,169,-266,-562,-88,218,668,251,303,"1,199"
Tax %,29%,-22%,-40%,14%,3%,37%,44%,22%,19%,32%,24%,18%
Net Profit +,14,-123,-13,146,-273,-773,-126,171,539,171,231,982
EPS in Rs,2.13,-27.40,-5.22,27.91,-68.57,-190.74,-37.35,31.01,113.33,23.74,39.18,218.70
Dividend Payout %,94%,-7%,-19%,0%,0%,0%,0%,0%,0%,8%,5%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,42,42,42,42,42,42,42,42,42,42,42,42
Reserves,965,"1,305","1,325","1,423","1,110",299,154,325,"1,539","1,652","1,814","2,047"
Borrowings +,"3,434","5,047","4,299","4,506","5,235","3,368","1,851","2,643","2,108","1,783",717,642
Other Liabilities +,"1,678","1,617","1,914","2,279","2,886","2,845","3,297","3,201","1,361","1,334","2,453",520
Total Liabilities,"6,118","8,011","7,580","8,250","9,273","6,554","5,344","6,211","5,050","4,811","5,026","3,251"
Fixed Assets +,488,"1,829","1,793","1,798","1,835","1,862","1,431","1,424","1,940","1,957",865,159
CWIP,424,102,143,147,154,168,78,320,19,23,7,0
Investments,209,774,878,911,815,855,952,"1,126","1,242","1,270","1,425","2,581"
Other Assets +,"4,998","5,306","4,767","5,395","6,469","3,668","2,883","3,341","1,848","1,561","2,729",511
Total Assets,"6,118","8,011","7,580","8,250","9,273","6,554","5,344","6,211","5,050","4,811","5,026","3,251"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,839,-869,"1,097",293,-355,"2,635","1,521",571,95,473,511,203
Cash from Investing Activity +,-286,-489,-40,-63,-103,-16,-171,-137,426,3,-122,-69
Cash from Financing Activity +,-547,"1,363","-1,003",-148,360,"-2,404","-1,188",-296,-697,-527,-494,-335
Net Cash Flow,6,5,54,82,-98,215,162,138,-176,-51,-104,-201
Free Cash Flow,654,"-1,019",952,221,-502,"2,556","1,449",344,-150,453,433,103
CFO/OP,282%,-307%,240%,58%,-110%,-777%,"4,344%",249%,44%,160%,135%,66%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,159,197,198,170,176,266,69,64,63,48,7,10
Inventory Days,61,45,56,74,107,94,52,78,47,38,23,45
Days Payable,70,54,86,102,118,339,96,91,57,41,21,39
Cash Conversion Cycle,149,188,168,142,164,22,25,52,53,45,9,16
Working Capital Days,1,-33,-50,-44,-31,-250,-304,-224,-68,-62,-165,-56
ROCE %,7%,5%,8%,10%,5%,-5%,3%,13%,10%,8%,13%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,65.28%,65.28%,65.28%,65.28%,65.28%,65.21%,65.21%,65.21%,65.21%,65.21%,65.20%,65.20%
FIIs +,1.09%,1.02%,1.58%,1.27%,1.08%,1.18%,2.52%,1.33%,2.67%,2.85%,2.71%,2.84%
DIIs +,1.00%,1.00%,1.00%,1.00%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%
Public +,32.62%,32.70%,32.13%,32.46%,33.55%,33.51%,32.18%,33.37%,32.03%,31.85%,32.00%,31.88%
No. of Shareholders,"31,697","32,127","33,845","37,655","39,757","45,084","44,277","46,257","44,892","47,405","45,524","44,493"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,-8%
5 Years:,6%
3 Years:,-11%
TTM:,-28%

Compounded Profit Growth
10 Years:,18%
5 Years:,31%
3 Years:,34%
TTM:,85%

Stock Price CAGR
10 Years:,3%
5 Years:,13%
3 Years:,19%
1 Year:,17%

Return on Equity
10 Years:,-2%
5 Years:,12%
3 Years:,10%
Last Year:,15%

