--- ABOUT ---
"Zydus Wellness operates as an integrated consumer Company with business encompassing the entire value chain in the development, production, marketing and distribution of health and wellness products. The product portfolio of the Company includes brands like Sugar free, Everyuth and Nutralite.(Source : 202003 Annual Report Page No: 83)"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"16,301",512,552,70.2

Book Value,Dividend Yield,ROCE,ROE
183,0.23,4.96,4.04

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,713,702,440,403,783,841,493,462,913,861,650,965,"1,485"
Expenses +,568,586,423,390,620,686,473,447,723,705,628,904,"1,215"
Operating Profit,145,116,17,13,162,155,20,15,190,156,23,61,270
OPM %,20%,17%,4%,3%,21%,18%,4%,3%,21%,18%,4%,6%,18%
Other Income +,-6,-12,4,3,4,5,10,4,1,3,-33,-6,1
Interest,5,5,6,6,6,4,1,3,4,2,16,41,39
Depreciation,7,6,6,6,6,5,5,5,13,11,25,56,55
Profit before tax,126,93,9,4,154,152,24,10,173,145,-51,-42,177
Tax %,-15%,-18%,31%,92%,3%,3%,12%,37%,1%,12%,4%,-4%,9%
Net Profit +,145,110,6,0,150,148,21,6,172,128,-53,-40,162
EPS in Rs,4.57,3.47,0.19,0.01,4.72,4.64,0.66,0.20,5.40,4.02,-1.66,-1.25,5.09
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,431,397,431,513,843,"1,767","1,867","2,009","2,255","2,328","2,709","3,961"
Expenses +,331,305,331,387,658,"1,446","1,522","1,664","1,918","2,020","2,329","3,451"
Operating Profit,100,91,99,125,185,321,344,345,337,308,380,510
OPM %,23%,23%,23%,24%,22%,18%,18%,17%,15%,13%,14%,13%
Other Income +,28,32,32,35,28,-33,-123,10,-5,-0,19,-34
Interest,0,0,1,2,30,140,84,26,16,24,12,98
Depreciation,8,7,7,9,13,26,25,24,25,24,28,147
Profit before tax,120,117,124,150,171,121,112,306,291,260,359,230
Tax %,7%,10%,10%,9%,-0%,-17%,-6%,-1%,-7%,-3%,3%,14%
Net Profit +,111,105,111,137,171,142,119,309,310,267,347,197
EPS in Rs,5.58,5.28,5.58,6.85,5.87,4.92,3.73,9.71,9.75,8.39,10.90,6.20
Dividend Payout %,22%,25%,23%,23%,17%,20%,27%,10%,10%,12%,11%,19%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,39,39,39,58,58,64,64,64,64,64,64
Reserves,367,439,518,652,"3,329","3,403","4,504","4,780","5,059","5,294","5,608","5,762"
Borrowings +,0,0,25,25,"1,569","1,519",550,387,297,329,188,"3,203"
Other Liabilities +,102,89,100,112,503,610,548,461,413,462,582,"1,279"
Total Liabilities,508,568,682,829,"5,459","5,590","5,666","5,692","5,833","6,148","6,442","10,308"
Fixed Assets +,84,82,103,104,"4,567","4,674","4,667","4,710","4,732","4,708","5,125","8,596"
CWIP,0,0,0,0,10,4,4,12,13,10,15,23
Investments,0,94,30,148,46,110,0,27,70,78,36,5
Other Assets +,423,391,550,577,835,802,995,943,"1,018","1,354","1,266","1,684"
Total Assets,508,568,682,829,"5,459","5,590","5,666","5,692","5,833","6,148","6,442","10,308"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,69,90,77,69,149,259,287,237,92,246,380,226
Cash from Investing Activity +,29,-28,-72,-59,"-4,092",-17,-10,-59,-85,-178,-207,"-2,910"
Cash from Financing Activity +,-27,-58,-6,-2,"4,052",-260,-216,-234,-138,-26,-186,"2,698"
Net Cash Flow,71,4,-1,8,109,-18,60,-56,-132,43,-13,15
Free Cash Flow,72,86,46,61,132,235,269,162,47,220,315,126
CFO/OP,80%,114%,86%,64%,115%,81%,83%,70%,28%,81%,99%,50%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,1,3,3,6,42,24,18,26,34,44,49,35
Inventory Days,76,73,127,113,393,168,158,135,146,150,148,178
Days Payable,146,191,264,254,662,289,189,136,100,116,122,107
Cash Conversion Cycle,-69,-116,-134,-135,-227,-97,-13,25,80,78,75,106
Working Capital Days,-37,-38,-57,-26,-26,-7,-35,-27,17,20,34,49
ROCE %,32%,26%,23%,22%,7%,6%,6%,6%,6%,5%,6%,5%

--- SHAREHOLDING PATTERN ---
